,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,project,date
Linking,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,0.9474913629522658,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,0.05225844158252713,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,5.212405525150168e-06,Linking,2016-10
Delete,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,0.8680981559269059,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,0.1281952803665302,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,7.722007722007911e-05,Delete,2016-10
ScienceDirect,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,0.09686352214463369,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,0.8186358815208485,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,0.08089906376746771,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,7.662835249042426e-05,ScienceDirect,2016-10
TextSummary,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333334665102,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.9836666666665328,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,0.0003333333333333456,TextSummary,2016-10
MoodleConsumer,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.060902968530231895,0.00014084507042254086,0.00014084507042254086,0.932336468089486,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,0.00014084507042254086,MoodleConsumer,2016-10
LastAnnotation,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.9772093023255806,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,0.0004651162790697822,LastAnnotation,2016-10
Manual,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,0.08673256828856951,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,0.8851031625055373,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.156069365729697e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,0.027620916604721584,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,1.1560693641619353e-05,Manual,2016-10
Assessing,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.9683870967741932,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,0.0006451612903225864,Assessing,2016-10
HTML,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.5370028786986748,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.4260740443782476,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,0.0007692307692307872,HTML,2016-10
Update,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.8612489062854579,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.1321304040593695,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,0.00013793103448276318,Update,2016-10
