,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19
topic#0,codes,date,parse,sort,float,number,created,themes,result,elseifcond,relation,annotation,theme,annotations,validation,progress,endpoint,annotated,https,different
topic#1,commenting,group,elseifcond,window,alert,span,events,delete,toolset,result,configuring,comment,body,export,float,script,moodle,codebook,select,profile
topic#2,toggle,center,defined,interval,hash,language,export,hypothes,replying,scheme,updating,relation,loaded,logged,value,color,purpose,application,rubric,question
topic#3,article,reader,permissions,references,elsecond,headers,index,access,loading,links,retrieve,children,status,buttons,token,define,info,length,split,codes
topic#4,previous,assignments,assignment,window,abwa,moodle,destroy,element,student,url,resolve,append,reject,cmid,manager,metadata,reload,retrieve,annotator,content
topic#5,annotation,server,manager,hypothesis,storage,browser,group,client,window,callback,token,selected,abwa,chrome,init,error,links,html,interval,hypothes
topic#6,create,codebook,linking,theme,group,annotation,definition,topic,event,based,html,events,window,utils,alert,element,resolve,code,annotations,form
topic#7,updated,validation,access,main,possible,default,success,developer,objects,linking,comments,label,article,body,tab,includes,webpage,reader,save,saved
topic#8,tabs,request,response,id,chrome,location,listener,tab,headers,href,add,index,content,web,load,window,annotation,endcondpvscl,resolve,html
topic#9,linking,annotations,annotation,relation,event,current,events,element,create,form,id,button,concept,value,document,codebook,theme,user,callback,deleted
topic#10,storage,browser,manager,annotation,server,window,file,button,sheet,text,alerts,options,query,restore,json,group,delete,alert,callback,console
topic#11,browser,manager,storage,annotation,hypothesis,button,window,page,function,delete,client,server,file,text,document,try,restore,init,image,namespace
topic#12,id,characters,imported,activity,access,configure,success,direct,result,method,query,script,defined,image,message,commenting,chrome,1000,uri,new
topic#13,codebook,group,delete,event,selector,events,rename,handler,item,annotations,export,listener,span,hypothesis,deleted,utils,title,add,current,option
topic#14,hypothesis,possible,swal,cross,urls,tab,token,web,script,request,annotated,html,configuring,images,substring,number,card,restore,tries,retrieve
topic#15,codebook,moodle,event,theme,group,callback,client,manager,id,google,create,events,annotation,code,update,annotations,abwa,window,utils,selector
topic#16,comment,commenting,text,form,confirm,pre,data,response,alerts,callback,cancel,button,axios,settings,modify,message,alert,content,promise,stringify
topic#17,moodle,id,callback,assignment,annotations,rubric,manager,annotation,element,code,client,time,text,message,query,url,jsimport,theme,events,course
topic#18,url,headers,science,annotation,direct,response,id,request,redirect,config,hash,param,manager,target,load,utils,location,chrome,script,groups
topic#19,moodle,tabs,reload,built,requests,storage,change,review,adds,local,characters,tag,scrap,provider,plain,annotation,i18n,highlighter,1000,href
topic#20,hypothesis,token,body,annotation,group,value,info,server,item,abwa,async,manager,textarea,hypothes,purpose,element,deserialize,content,matches,result
topic#21,document,viewer,pdf,page,window,promise,application,format,current,image,file,resolve,criteria,annotations,element,body,alerts,annotated,annotation,url
topic#22,comments,manager,interval,used,highlight,extract,filter,local,paper,moodle,width,elseifcond,button,scrap,add,redirect,option,append,manage,hypothesis
topic#23,code,theme,event,events,codebook,annotation,update,updated,annotated,handler,utils,annotations,create,id,hierarchy,language,element,tags,config,remove
topic#24,previous,assignment,assignments,url,student,imported,activated,annotations,reviewing,returns,progress,themes,article,teacher,element,manifest,stringify,changed,card,reject
topic#25,group,codebook,selector,event,create,delete,rename,events,current,item,export,handler,alerts,alert,groups,utils,container,based,language,text
topic#26,linking,split,dimport,handler,events,moodle,document,code,theme,window,manager,exporter,open,relation,purposes,event,assign,annotation,new,error
topic#27,linking,index,code,new,i18n,concept,selector,create,change,todo,sheet,tooltip,want,define,images,callback,events,number,used,built
topic#28,list,annotation,image,toolset,url,theme,id,moodle,endpoint,title,configuration,option,read,click,target,template,link,parts,condition,param
topic#29,linking,relation,button,annotation,document,annotations,id,codebook,link,theme,callback,body,window,concept,url,form,value,content,manager,text
topic#30,group,topic,create,codebook,annotation,based,annotations,button,theme,dispatch,elsecond,server,built,manager,utils,callback,language,client,abwa,replace
topic#31,moodle,callback,assignment,student,id,cmid,course,response,token,rubric,download,chrome,annotations,group,annotation,time,client,endpoint,href,data
topic#32,linking,relation,annotation,theme,annotations,create,manager,element,event,span,concept,language,window,date,form,codebook,events,data,header,value
topic#33,science,href,1000,pre,extract,tries,replying,groups,opened,account,configuring,time,interval,text,requests,plain,endcon,exist,substring,equal
topic#34,import,definition,annotations,export,json,codes,theme,annotation,imported,guide,button,highlighter,review,description,length,defined,image,create,items,push
topic#35,scrap,resource,new,window,local,commenting,reopen,retrieving,want,exists,append,float,url,webpage,info,width,id,reply,async,template
topic#36,google,number,sheet,callback,token,id,provider,result,value,send,index,client,user,rows,data,start,annotation,message,values,browser
topic#37,assignment,previous,moodle,create,comment,element,callback,append,window,assignments,rubric,annotations,student,manager,id,endpoint,url,storage,group,abwa
topic#38,annotation,reply,annotations,classifying,utils,color,commenting,text,html,replying,form,purpose,error,body,create,references,comment,id,data,user
topic#39,annotation,form,linking,manager,element,codebook,token,server,message,endpoint,event,create,utils,color,moodle,data,user,value,relation,chrome
topic#40,linking,add,button,custom,element,code,annotation,sheet,length,document,tool,tags,consumer,notify,like,link,doi,level,dark,default
topic#41,replying,student,config,save,highlighter,option,assign,access,seconds,selection,purpose,time,endpoint,built,color,urls,codes,change,label,tabs
topic#42,body,value,purpose,info,annotation,title,option,document,item,content,html,data,create,purposes,element,select,span,remove,pre,confirm
topic#43,sheet,google,callback,id,number,client,token,index,provider,value,error,row,result,user,function,chrome,source,rows,group,request
topic#44,element,doi,url,text,content,pdf,child,link,image,document,script,button,hash,config,utils,window,inner,annotation,selector,extension
topic#45,moodle,id,callback,annotation,endpoint,assignment,student,cmid,rubric,client,annotations,manager,course,group,element,token,chrome,current,time,server
topic#46,moodle,callback,id,group,annotation,token,window,rubric,annotations,cmid,client,element,sheet,provider,selector,error,utils,google,create,server
topic#47,classification,case,menu,parse,class,assignments,definition,context,container,runtime,requests,success,want,link,chrome,configure,items,required,language,lodash
topic#48,previous,assignments,student,sheet,open,import,append,reload,assignment,hide,element,description,url,destroy,add,swal2,id,number,length,instance
topic#49,group,manager,hypothesis,client,annotation,token,user,sheet,body,server,create,google,value,callback,codebook,id,number,html,window,title
