QueryProject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Delete,"(1.0674992173371551e-07, 'Create')","(0.0006016328054381, 'UserFilter')","(0.10889801876430327, 'DeleteAll')","(0.3349876363782447, 'JSON')","(0.37514879458992334, 'ImportAnnotations')","(0.39238978171142014, 'Remote')","(0.39752239834725134, 'SidebarNavigation')","(0.40391814547022353, 'Replying')","(0.49139838038661093, 'AnnotatedPDF')","(0.49317446812264165, 'MoodleReport')","(0.5084670258791554, 'Selector')","(0.5420133985821647, 'Autocomplete')","(0.5537656068025576, 'CodebookDelete')","(0.586713858369506, 'Multivalued')","(0.6314860599564116, 'BuiltIn')","(0.6463656386248835, 'URL')","(0.6471966007730887, 'Hierarchy')","(0.6634621437196008, 'WebAnnotationClient')","(0.666373762239361, 'Alphabetical')","(0.666373762239361, 'Number')","(0.6665211609304887, 'MoodleResourceBased')","(0.6724765740924004, 'Date')","(0.673338754282628, 'HTML')","(0.6760965031770867, 'Export')","(0.6763672770530147, 'PDF')","(0.6786727809217131, 'AnnotationList')","(0.6794020575306803, 'Canvas')","(0.6794020575306803, 'LastAnnotation')","(0.6794020575311834, 'Assessing')","(0.6794245153500451, 'TXT')","(0.6809805764610677, 'SentimentAnalysis')","(0.6810423904833933, 'MoodleComment')","(0.6811180089845166, 'URN')","(0.6815527671009757, 'Categorize')","(0.6819701686750255, 'TextSummary')","(0.6835609860039444, 'Dropbox')","(0.6838743505843188, 'Commenting')","(0.6850724763331049, 'MoodleConsumer')","(0.6855433998543621, 'Neo4J')","(0.6858678659089694, 'ScienceDirect')","(0.6858885438441067, 'DOI')","(0.686057182790742, 'SuggestedLiterature')","(0.6863359109487923, 'ACM')","(0.6863939603711218, 'Springer')","(0.687324536791809, 'Classifying')","(0.687775546799148, 'PreviousAssignments')","(0.6881496927592693, 'MoodleResource')","(0.6887660775664289, 'Hosting')","(0.6888930640588604, 'ImportCodebook')","(0.6890006558576487, 'Codebook')","(0.6894147175683358, 'BrowserStorage')","(0.6894809243588801, 'GoogleSheetConsumer')","(0.6897263294635128, 'ExportCodebook')","(0.6898081372498338, 'Hypothesis')","(0.6898997820805488, 'RenameCodebook')","(0.6903093113019272, 'MoodleProvider')","(0.6906086750109229, 'AnnotationServer')","(0.6907145073059057, 'ApplicationBased')","(0.6907536946018503, 'Manual')","(0.6908496451557407, 'GoogleSheetProvider')","(0.6915920771578048, 'CodebookUpdate')","(1, 'Delete')","(1, 'Update')"
ScienceDirect,"(0.039815472333816285, 'DOI')","(0.040085789007146724, 'Dropbox')","(0.22263697215973693, 'TXT')","(0.28432133972023405, 'MoodleConsumer')","(0.37345315628576103, 'PDF')","(0.5106905820314963, 'AnnotationServer')","(0.6011438659754825, 'Remote')","(0.6121820907670802, 'Hypothesis')","(0.6349420677239381, 'URL')","(0.6370744950704603, 'Hosting')","(0.6447437599285243, 'MoodleProvider')","(0.6588008741783031, 'Replying')","(0.6588993071712346, 'WebAnnotationClient')","(0.662855980719293, 'Alphabetical')","(0.662855980719293, 'Number')","(0.662997990986701, 'MoodleResourceBased')","(0.6706519183729868, 'Date')","(0.6717157959159666, 'HTML')","(0.6750735045876278, 'Export')","(0.6780096121900658, 'AnnotationList')","(0.6788313490230176, 'Canvas')","(0.6788313490230176, 'LastAnnotation')","(0.6788313490235035, 'Assessing')","(0.6806072019449205, 'SentimentAnalysis')","(0.6806477796035206, 'MoodleComment')","(0.6807577049427295, 'URN')","(0.6812543959838115, 'Categorize')","(0.6816568236474374, 'TextSummary')","(0.6824145055642784, 'JSON')","(0.6837124850420127, 'Commenting')","(0.6844343471538239, 'Autocomplete')","(0.685486334729316, 'Neo4J')","(0.6855082536695156, 'AnnotatedPDF')","(0.6857557659907852, 'Selector')","(0.6858678659089694, 'Delete')","(0.6858678659089694, 'Update')","(0.685902761199765, 'Create')","(0.6859712240116393, 'SuggestedLiterature')","(0.6862591470955505, 'ACM')","(0.6863190299680183, 'Springer')","(0.6865283125243034, 'ImportAnnotations')","(0.6870528918498673, 'MoodleReport')","(0.6870738121290692, 'DeleteAll')","(0.687324664373151, 'Classifying')","(0.68774951223789, 'PreviousAssignments')","(0.6881425728216145, 'MoodleResource')","(0.6882108012440122, 'SidebarNavigation')","(0.6886315131348292, 'UserFilter')","(0.6889186685588182, 'ImportCodebook')","(0.6890177066986384, 'Codebook')","(0.6894032273567356, 'BrowserStorage')","(0.6894800467385138, 'GoogleSheetConsumer')","(0.6895794695989497, 'Multivalued')","(0.6897405467388086, 'ExportCodebook')","(0.6898234864525021, 'CodebookDelete')","(0.6898296589714645, 'BuiltIn')","(0.6898938742196384, 'RenameCodebook')","(0.6907159396315342, 'ApplicationBased')","(0.6907762751060672, 'Manual')","(0.6908623669920764, 'GoogleSheetProvider')","(0.6908686212665571, 'Hierarchy')","(0.6916061889395559, 'CodebookUpdate')","(1, 'ScienceDirect')"
TextSummary,"(0.0010812139233232017, 'Canvas')","(0.0010812139233232017, 'LastAnnotation')","(0.0018444909071443642, 'AnnotationList')","(0.04574900592766851, 'AnnotatedPDF')","(0.25243983288772287, 'JSON')","(0.3991862612362763, 'SentimentAnalysis')","(0.4279567470146115, 'DeleteAll')","(0.47944226155912323, 'ImportAnnotations')","(0.487541837795768, 'MoodleReport')","(0.6018313100008117, 'GoogleSheetConsumer')","(0.614810000252421, 'URL')","(0.6397685864640474, 'WebAnnotationClient')","(0.6445053655860742, 'Alphabetical')","(0.6445053655860742, 'Number')","(0.6448898390445242, 'MoodleResourceBased')","(0.6556478232963963, 'Date')","(0.6572936719520213, 'HTML')","(0.6625716361926908, 'Export')","(0.6630219587461045, 'PDF')","(0.6691351205411766, 'TXT')","(0.6693115890913341, 'Assessing')","(0.6725982494564882, 'MoodleComment')","(0.6726295967148843, 'URN')","(0.6733774512392966, 'Categorize')","(0.6749797697027814, 'Remote')","(0.6775298954525493, 'Dropbox')","(0.6779777231791406, 'Commenting')","(0.6784776302358904, 'Autocomplete')","(0.6799191307547414, 'MoodleConsumer')","(0.6807658737600129, 'Neo4J')","(0.6809240476491296, 'Selector')","(0.6816568236474374, 'ScienceDirect')","(0.6818473915270916, 'DOI')","(0.6819701686750255, 'Delete')","(0.6819701686750255, 'Update')","(0.6820302852313468, 'Create')","(0.6821480674893039, 'SuggestedLiterature')","(0.6826291937858137, 'Replying')","(0.6826409694085005, 'ACM')","(0.682742975563457, 'Springer')","(0.6836711070283555, 'Classifying')","(0.6849178845786309, 'PreviousAssignments')","(0.6852166831706523, 'SidebarNavigation')","(0.6853384310825044, 'MoodleResource')","(0.6860845433354422, 'ImportCodebook')","(0.6864354847601923, 'Codebook')","(0.6865219175835906, 'Hosting')","(0.6865258196353119, 'UserFilter')","(0.6874410531208266, 'MoodleProvider')","(0.6874877694909255, 'BuiltIn')","(0.6877100267006597, 'BrowserStorage')","(0.687723741030597, 'ExportCodebook')","(0.6877638137811595, 'Multivalued')","(0.688077252136663, 'Hypothesis')","(0.6881079837650057, 'CodebookDelete')","(0.6884397772530055, 'RenameCodebook')","(0.6891148718761999, 'Hierarchy')","(0.6891609512450454, 'Manual')","(0.689469451995165, 'AnnotationServer')","(0.6895570534292692, 'GoogleSheetProvider')","(0.6896193075104157, 'ApplicationBased')","(0.6906364918941788, 'CodebookUpdate')","(1, 'TextSummary')"
MoodleConsumer,"(0.2523370595259965, 'MoodleResource')","(0.2630122314950103, 'Dropbox')","(0.26440417179931114, 'DOI')","(0.28115773662423593, 'MoodleComment')","(0.28432133972023405, 'ScienceDirect')","(0.2995537862278856, 'MoodleResourceBased')","(0.3175644831821428, 'MoodleProvider')","(0.36255038371197434, 'TXT')","(0.38518956245754377, 'MoodleReport')","(0.45200787163697276, 'PDF')","(0.4805650573296525, 'RenameCodebook')","(0.4855256983562839, 'CodebookDelete')","(0.5091703006356992, 'ExportCodebook')","(0.5120701478853786, 'Manual')","(0.5327377312050358, 'Autocomplete')","(0.5616065250227715, 'GoogleSheetConsumer')","(0.5659865355153236, 'GoogleSheetProvider')","(0.5867564654927038, 'Neo4J')","(0.6054156222398347, 'PreviousAssignments')","(0.6069172091736639, 'URL')","(0.6236059433207033, 'ImportCodebook')","(0.646392049255583, 'WebAnnotationClient')","(0.6527558140369691, 'Alphabetical')","(0.6527558140369691, 'Number')","(0.6543290715242411, 'Selector')","(0.6621597840203592, 'Replying')","(0.6646665877017606, 'Date')","(0.6662405882438368, 'HTML')","(0.6689312089724049, 'CodebookUpdate')","(0.6711402230564661, 'Export')","(0.6751394864231708, 'AnnotationList')","(0.6762421010556012, 'Canvas')","(0.6762421010556012, 'LastAnnotation')","(0.6762421010561315, 'Assessing')","(0.6786126816202842, 'SentimentAnalysis')","(0.6788071573286281, 'URN')","(0.6794770510031556, 'Categorize')","(0.6799191307547414, 'TextSummary')","(0.6808593735492766, 'Remote')","(0.6809394647946266, 'JSON')","(0.6825112149109545, 'Commenting')","(0.6846660428058824, 'AnnotatedPDF')","(0.6850724763331049, 'Delete')","(0.6850724763331049, 'Update')","(0.685113607907395, 'Create')","(0.6851942336685807, 'SuggestedLiterature')","(0.6855322636074532, 'ACM')","(0.6856023565590156, 'Springer')","(0.685890731893585, 'ImportAnnotations')","(0.6865047208843685, 'DeleteAll')","(0.6868091851660376, 'Classifying')","(0.6878022581536599, 'SidebarNavigation')","(0.6882547917104869, 'UserFilter')","(0.6884006347803631, 'Hosting')","(0.6887001152595903, 'Codebook')","(0.68911694214306, 'BrowserStorage')","(0.6893149374785403, 'Multivalued')","(0.6895709928935686, 'Hypothesis')","(0.6895910001031589, 'BuiltIn')","(0.6904416094350594, 'AnnotationServer')","(0.6905574081489433, 'ApplicationBased')","(0.6907127969958957, 'Hierarchy')","(1, 'MoodleConsumer')"
LastAnnotation,"(0.00010319088841471448, 'AnnotationList')","(0.0010812139233232017, 'TextSummary')","(0.04851707481281674, 'AnnotatedPDF')","(0.2507757523176437, 'JSON')","(0.39507919794777013, 'SentimentAnalysis')","(0.4272979146552426, 'DeleteAll')","(0.47787182896094393, 'ImportAnnotations')","(0.48594980613523997, 'MoodleReport')","(0.5863532939664827, 'URL')","(0.6011114968807574, 'GoogleSheetConsumer')","(0.6195393751586306, 'WebAnnotationClient')","(0.6261332403225561, 'Alphabetical')","(0.6261332403225561, 'Number')","(0.626769807042717, 'MoodleResourceBased')","(0.6422994708379866, 'Date')","(0.6446992935751452, 'HTML')","(0.6522997331513843, 'Export')","(0.6528819271618894, 'PDF')","(0.6616459304146316, 'TXT')","(0.6621104175256067, 'Assessing')","(0.6666742228837101, 'URN')","(0.6667533559892891, 'MoodleComment')","(0.6675961899781182, 'Categorize')","(0.6695469684953421, 'Remote')","(0.6735368845612975, 'Dropbox')","(0.6739564550489248, 'Autocomplete')","(0.6739758061511691, 'Commenting')","(0.6762421010556012, 'MoodleConsumer')","(0.6772772945698577, 'Selector')","(0.6773438936341714, 'Neo4J')","(0.6788313490230176, 'ScienceDirect')","(0.6792434441489927, 'DOI')","(0.6794020575306803, 'Delete')","(0.6794020575306803, 'Update')","(0.6794796424296143, 'Create')","(0.6796044634036695, 'Replying')","(0.6796314990426016, 'SuggestedLiterature')","(0.6802648212893581, 'ACM')","(0.6803954447854559, 'Springer')","(0.6808828315691771, 'Classifying')","(0.6829145981205744, 'SidebarNavigation')","(0.6829518159379742, 'PreviousAssignments')","(0.6832784614515139, 'MoodleResource')","(0.68377185165499, 'ImportCodebook')","(0.6843780364707482, 'Codebook')","(0.684748735856473, 'MoodleProvider')","(0.6849373831652521, 'Hosting')","(0.6851261288576125, 'UserFilter')","(0.6855180237559892, 'BuiltIn')","(0.686119264236246, 'ExportCodebook')","(0.6864283041652863, 'Multivalued')","(0.6865583986366719, 'BrowserStorage')","(0.6867707698495202, 'Hypothesis')","(0.686821955229214, 'CodebookDelete')","(0.6874283614342085, 'RenameCodebook')","(0.6875780419841941, 'Hierarchy')","(0.6877776157531363, 'Manual')","(0.688493079473751, 'GoogleSheetProvider')","(0.6886383240028128, 'AnnotationServer')","(0.6888126072252966, 'ApplicationBased')","(0.6898122225528405, 'CodebookUpdate')","(1, 'Canvas')","(1, 'LastAnnotation')"
Manual,"(0.15592673552918018, 'RenameCodebook')","(0.17460566085274298, 'CodebookDelete')","(0.25941985077887064, 'ExportCodebook')","(0.332659260200596, 'ApplicationBased')","(0.37420163324876643, 'BuiltIn')","(0.374594710142364, 'ImportCodebook')","(0.4254357454202139, 'Neo4J')","(0.43260021072103666, 'Codebook')","(0.5120701478853786, 'MoodleConsumer')","(0.5435926314225727, 'PreviousAssignments')","(0.5561119251631452, 'MoodleProvider')","(0.5596455740606215, 'ACM')","(0.5596561622638742, 'Springer')","(0.5620523579155663, 'Hosting')","(0.5637812012678501, 'GoogleSheetProvider')","(0.5656149393282178, 'Autocomplete')","(0.5685944975636537, 'URN')","(0.5781094639394893, 'MoodleResource')","(0.5809165752281498, 'DeleteAll')","(0.6146808585223682, 'Categorize')","(0.6436283094945937, 'URL')","(0.6448947145208059, 'Selector')","(0.6599068752435655, 'CodebookUpdate')","(0.6711586039344675, 'WebAnnotationClient')","(0.6752937256523087, 'Alphabetical')","(0.6752937256523087, 'Number')","(0.6753074962574115, 'MoodleResourceBased')","(0.6822099433231561, 'Date')","(0.6830556429291117, 'HTML')","(0.6856035561133262, 'Export')","(0.6859165788362233, 'PDF')","(0.6873221104488971, 'AnnotationList')","(0.6877776157531363, 'Canvas')","(0.6877776157531363, 'LastAnnotation')","(0.6877776157667276, 'Assessing')","(0.6879916886949663, 'TXT')","(0.6886988651157664, 'MoodleComment')","(0.6887549667233392, 'SentimentAnalysis')","(0.6891609512450454, 'TextSummary')","(0.6896194341541326, 'JSON')","(0.6896883772735409, 'Remote')","(0.6898652500691937, 'Dropbox')","(0.6900635787669044, 'Commenting')","(0.6906849081651973, 'AnnotatedPDF')","(0.6907305434447697, 'DOI')","(0.6907536946018503, 'Delete')","(0.6907536946018503, 'Update')","(0.6907650088633138, 'Create')","(0.6907762751060672, 'ScienceDirect')","(0.6907871363779995, 'SuggestedLiterature')","(0.6911064341804183, 'ImportAnnotations')","(0.6911730292603315, 'Replying')","(0.6912998335191927, 'MoodleReport')","(0.6913715340008297, 'Classifying')","(0.6915932086584266, 'UserFilter')","(0.6915991379560733, 'SidebarNavigation')","(0.6918185840745824, 'BrowserStorage')","(0.69188030175428, 'GoogleSheetConsumer')","(0.6919112921218362, 'Multivalued')","(0.6919858594728934, 'Hypothesis')","(0.6921843703036176, 'AnnotationServer')","(0.6924266535316592, 'Hierarchy')","(1, 'Manual')"
Assessing,"(0.0056723148267802965, 'SuggestedLiterature')","(0.14025736882059486, 'Categorize')","(0.2016729142159846, 'Commenting')","(0.3987480003466333, 'TXT')","(0.43855714233621945, 'Classifying')","(0.5216976494429872, 'PDF')","(0.5271542270711235, 'SidebarNavigation')","(0.5507366312068335, 'Autocomplete')","(0.5621703652351532, 'Selector')","(0.586353293974335, 'URL')","(0.5921220357051119, 'MoodleReport')","(0.6195393751639964, 'WebAnnotationClient')","(0.626133240327309, 'Alphabetical')","(0.626133240327309, 'Number')","(0.6267698070474699, 'MoodleResourceBased')","(0.6422994708413738, 'Date')","(0.6446992935783198, 'HTML')","(0.6522997331538241, 'Export')","(0.6600135134825136, 'AnnotationList')","(0.6621104175256067, 'Canvas')","(0.6621104175256067, 'LastAnnotation')","(0.6662987002807703, 'SentimentAnalysis')","(0.6666742229029591, 'URN')","(0.6667533559906245, 'MoodleComment')","(0.6693115890913341, 'TextSummary')","(0.6695469684962407, 'Remote')","(0.6704513695340446, 'JSON')","(0.673536884562156, 'Dropbox')","(0.6762421010561315, 'MoodleConsumer')","(0.6773438936503189, 'Neo4J')","(0.6781960786376164, 'AnnotatedPDF')","(0.6788313490235035, 'ScienceDirect')","(0.6792434441495045, 'DOI')","(0.6794020575311834, 'Delete')","(0.6794020575311834, 'Update')","(0.6794796424301129, 'Create')","(0.6794998101356065, 'ImportAnnotations')","(0.6796044634039923, 'Replying')","(0.680264821309357, 'ACM')","(0.680395444805455, 'Springer')","(0.6811190101016373, 'DeleteAll')","(0.682951815938251, 'PreviousAssignments')","(0.6832784614517369, 'MoodleResource')","(0.683771851655121, 'ImportCodebook')","(0.6843780364708868, 'Codebook')","(0.6847487358713017, 'MoodleProvider')","(0.6849373831851284, 'Hosting')","(0.6851261288578323, 'UserFilter')","(0.6855180237560694, 'BuiltIn')","(0.6861192642363529, 'ExportCodebook')","(0.6862717055137983, 'GoogleSheetConsumer')","(0.6864283041654202, 'Multivalued')","(0.6865583986368327, 'BrowserStorage')","(0.6867707698496376, 'Hypothesis')","(0.6868219552293315, 'CodebookDelete')","(0.6874283614343359, 'RenameCodebook')","(0.6875780419842337, 'Hierarchy')","(0.6877776157667276, 'Manual')","(0.6884930794738102, 'GoogleSheetProvider')","(0.6886383240028977, 'AnnotationServer')","(0.6888126072253754, 'ApplicationBased')","(0.6898122225528701, 'CodebookUpdate')","(1, 'Assessing')"
HTML,"(0.08462007103397318, 'SentimentAnalysis')","(0.12749671895423903, 'PDF')","(0.17409644381289746, 'Selector')","(0.18681241895065703, 'Replying')","(0.22613322644090061, 'Commenting')","(0.34457025892315674, 'TXT')","(0.3614942463158731, 'URN')","(0.4172369461252825, 'Categorize')","(0.46629048646053856, 'Autocomplete')","(0.4940914636913858, 'URL')","(0.559188173868048, 'WebAnnotationClient')","(0.5602214981206948, 'SidebarNavigation')","(0.572529966614955, 'Alphabetical')","(0.572529966614955, 'Number')","(0.5741848687862294, 'MoodleResourceBased')","(0.5929971380877472, 'Classifying')","(0.6040117512850114, 'MoodleProvider')","(0.6062966448850358, 'Date')","(0.6177406635707979, 'Hierarchy')","(0.6257666752850866, 'Export')","(0.6408713675011759, 'AnnotationList')","(0.6446992935751452, 'Canvas')","(0.6446992935751452, 'LastAnnotation')","(0.6446992935783198, 'Assessing')","(0.6529217661854483, 'MoodleComment')","(0.6550879522976625, 'Remote')","(0.6572936719520213, 'TextSummary')","(0.6577551533971684, 'JSON')","(0.6642520375442365, 'Dropbox')","(0.6662405882438368, 'MoodleConsumer')","(0.667929763124107, 'Neo4J')","(0.6707531504227748, 'AnnotatedPDF')","(0.6709077613627807, 'ImportAnnotations')","(0.6713443573268443, 'MoodleReport')","(0.6717157959159666, 'ScienceDirect')","(0.6731021196642, 'DOI')","(0.673338754282628, 'Delete')","(0.673338754282628, 'Update')","(0.6734543141492539, 'Create')","(0.6736801396071244, 'SuggestedLiterature')","(0.6741795766742706, 'DeleteAll')","(0.6746168014712144, 'ACM')","(0.6748089513648923, 'Springer')","(0.6762655021612836, 'ImportCodebook')","(0.6772945258205959, 'MoodleResource')","(0.6776602937007055, 'PreviousAssignments')","(0.6778260727072076, 'Codebook')","(0.6789751994495115, 'BuiltIn')","(0.6804943873426287, 'Hosting')","(0.6809903011631392, 'ExportCodebook')","(0.6815211638820982, 'UserFilter')","(0.6823221228562166, 'GoogleSheetConsumer')","(0.6824881926266573, 'Multivalued')","(0.6828021005861398, 'Hypothesis')","(0.6829382187528561, 'CodebookDelete')","(0.6830556429291117, 'Manual')","(0.6834539443851014, 'BrowserStorage')","(0.6846034870837704, 'RenameCodebook')","(0.6849942380410386, 'GoogleSheetProvider')","(0.6861694110914401, 'AnnotationServer')","(0.6863916191621042, 'ApplicationBased')","(0.6870296845110787, 'CodebookUpdate')","(1, 'HTML')"
Update,"(1.0674992173317849e-07, 'Create')","(0.0006016328054381001, 'UserFilter')","(0.10889801876430326, 'DeleteAll')","(0.3349876363782447, 'JSON')","(0.37514879458992334, 'ImportAnnotations')","(0.39238978171142014, 'Remote')","(0.39752239834725134, 'SidebarNavigation')","(0.40391814547022353, 'Replying')","(0.49139838038661093, 'AnnotatedPDF')","(0.49317446812264165, 'MoodleReport')","(0.5084670258791554, 'Selector')","(0.5420133985821647, 'Autocomplete')","(0.5537656068025576, 'CodebookDelete')","(0.5867138583695056, 'Multivalued')","(0.6314860599564116, 'BuiltIn')","(0.6463656386248835, 'URL')","(0.6471966007730887, 'Hierarchy')","(0.6634621437196008, 'WebAnnotationClient')","(0.666373762239361, 'Alphabetical')","(0.666373762239361, 'Number')","(0.6665211609304887, 'MoodleResourceBased')","(0.6724765740924004, 'Date')","(0.673338754282628, 'HTML')","(0.6760965031770867, 'Export')","(0.6763672770530147, 'PDF')","(0.6786727809217131, 'AnnotationList')","(0.6794020575306803, 'Canvas')","(0.6794020575306803, 'LastAnnotation')","(0.6794020575311834, 'Assessing')","(0.6794245153500451, 'TXT')","(0.6809805764610677, 'SentimentAnalysis')","(0.6810423904833933, 'MoodleComment')","(0.6811180089845166, 'URN')","(0.6815527671009757, 'Categorize')","(0.6819701686750255, 'TextSummary')","(0.6835609860039444, 'Dropbox')","(0.6838743505843188, 'Commenting')","(0.6850724763331049, 'MoodleConsumer')","(0.6855433998543621, 'Neo4J')","(0.6858678659089694, 'ScienceDirect')","(0.6858885438441067, 'DOI')","(0.686057182790742, 'SuggestedLiterature')","(0.6863359109487923, 'ACM')","(0.6863939603711218, 'Springer')","(0.687324536791809, 'Classifying')","(0.687775546799148, 'PreviousAssignments')","(0.6881496927592693, 'MoodleResource')","(0.6887660775664289, 'Hosting')","(0.6888930640588604, 'ImportCodebook')","(0.6890006558576487, 'Codebook')","(0.6894147175683358, 'BrowserStorage')","(0.6894809243588801, 'GoogleSheetConsumer')","(0.6897263294635128, 'ExportCodebook')","(0.6898081372498338, 'Hypothesis')","(0.6898997820805488, 'RenameCodebook')","(0.6903093113019272, 'MoodleProvider')","(0.6906086750109229, 'AnnotationServer')","(0.6907145073059057, 'ApplicationBased')","(0.6907536946018503, 'Manual')","(0.6908496451557407, 'GoogleSheetProvider')","(0.6915920771578048, 'CodebookUpdate')","(1, 'Delete')","(1, 'Update')"
Hypothesis,"(0.15077475177368205, 'WebAnnotationClient')","(0.20023521864119687, 'Neo4J')","(0.21317735332430887, 'Remote')","(0.5076801138761823, 'MoodleResource')","(0.5080459562213463, 'AnnotationServer')","(0.5124731660425321, 'MoodleProvider')","(0.5362938437360841, 'Autocomplete')","(0.5891810035267997, 'Replying')","(0.6121820907670802, 'ScienceDirect')","(0.6385433336747424, 'Hosting')","(0.6533343988570377, 'URL')","(0.6767691249429684, 'Alphabetical')","(0.6767691249429684, 'Number')","(0.6768010049229403, 'MoodleResourceBased')","(0.6821287618348659, 'Date')","(0.6828021005861398, 'HTML')","(0.6848578404728468, 'Export')","(0.6851000862150158, 'PDF')","(0.6863626970535937, 'AnnotationList')","(0.6867707698495202, 'Canvas')","(0.6867707698495202, 'LastAnnotation')","(0.6867707698496376, 'Assessing')","(0.6869125987400566, 'TXT')","(0.6876271030601249, 'MoodleComment')","(0.6876541782077497, 'SentimentAnalysis')","(0.6877229036837005, 'URN')","(0.687985479470973, 'Categorize')","(0.688077252136663, 'TextSummary')","(0.6884881309746451, 'JSON')","(0.6888007957019804, 'Dropbox')","(0.6889872068919567, 'Commenting')","(0.6895709928935686, 'MoodleConsumer')","(0.6897012950013376, 'AnnotatedPDF')","(0.6897801118383087, 'DOI')","(0.6898081372498338, 'Delete')","(0.6898081372498338, 'Update')","(0.6898218739526872, 'Create')","(0.6898488163295988, 'SuggestedLiterature')","(0.6899258893560327, 'Selector')","(0.6899620375780456, 'ACM')","(0.6899855759085975, 'Springer')","(0.6901789078245926, 'ImportAnnotations')","(0.6903555308175766, 'DeleteAll')","(0.6904176274163724, 'MoodleReport')","(0.6905194383052001, 'Classifying')","(0.6905873724511706, 'PreviousAssignments')","(0.6908541777199616, 'SidebarNavigation')","(0.6909078852107333, 'UserFilter')","(0.6911978190856072, 'ImportCodebook')","(0.6912001863135286, 'Codebook')","(0.691232079066886, 'BrowserStorage')","(0.6913049394478091, 'GoogleSheetConsumer')","(0.6913502091504442, 'Multivalued')","(0.6914467633488213, 'RenameCodebook')","(0.6914617858605121, 'CodebookDelete')","(0.6914780713995956, 'ExportCodebook')","(0.6916021802719788, 'BuiltIn')","(0.6918281023047199, 'ApplicationBased')","(0.6919622664677444, 'GoogleSheetProvider')","(0.6919858594728934, 'Manual')","(0.6920820620454003, 'Hierarchy')","(0.6923427553257715, 'CodebookUpdate')","(1, 'Hypothesis')"
