QueryProject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Delete,"(9.040060998461566e-08, 'Update')","(2.387405970318007e-06, 'Create')","(0.0004467602003035556, 'UserFilter')","(0.13055907433998692, 'DeleteAll')","(0.21471750330139278, 'JSON')","(0.27180833157733547, 'ImportAnnotations')","(0.37191491709059676, 'SidebarNavigation')","(0.38908876779055845, 'Neo4J')","(0.48712082097285614, 'AnnotatedPDF')","(0.5142068464765506, 'Remote')","(0.524722445068683, 'Multivalued')","(0.5312791850669857, 'Replying')","(0.5611619481614225, 'ImportCodebook')","(0.570153813567822, 'Autocomplete')","(0.6076979775482747, 'CodebookDelete')","(0.6245663658350091, 'ExportCodebook')","(0.6477516817423454, 'URL')","(0.6673804597104639, 'MoodleResourceBased')","(0.6675189053979902, 'Alphabetical')","(0.6675189053979902, 'Number')","(0.669563569190853, 'WebAnnotationClient')","(0.67311862301094, 'Date')","(0.6741117605718094, 'HTML')","(0.6766011905688775, 'PDF')","(0.6773514219632395, 'Export')","(0.6799571916496838, 'TXT')","(0.6801307597522259, 'Assessing')","(0.6801307597522261, 'Canvas')","(0.6805170959011921, 'SentimentAnalysis')","(0.6806969709509603, 'LastAnnotation')","(0.6808320098188796, 'MoodleComment')","(0.680995121525517, 'URN')","(0.6818353942769759, 'Categorize')","(0.6818947731041096, 'AnnotationList')","(0.6822732521433305, 'TextSummary')","(0.6837685316677342, 'Commenting')","(0.6841012892536232, 'Dropbox')","(0.685574215133534, 'MoodleConsumer')","(0.6860768950769659, 'ScienceDirect')","(0.6862170720647779, 'SuggestedLiterature')","(0.6863727540013584, 'DOI')","(0.686490730257853, 'ACM')","(0.6865193712969695, 'Springer')","(0.6866000497151128, 'Selector')","(0.6871772236900529, 'PreviousAssignments')","(0.6873234935365751, 'MoodleReport')","(0.6877863350532327, 'MoodleResource')","(0.688315787942867, 'Classifying')","(0.6887051743970269, 'Codebook')","(0.6888899593835852, 'Hosting')","(0.6893300994044615, 'BrowserStorage')","(0.6893570123836011, 'Hypothesis')","(0.6893989889462535, 'BuiltIn')","(0.6895622893372649, 'GoogleSheetConsumer')","(0.689653561576079, 'ApplicationBased')","(0.6899785086468542, 'RenameCodebook')","(0.6900171710505447, 'GoogleSheetProvider')","(0.690673440774962, 'Manual')","(0.6907613545095986, 'AnnotationServer')","(0.6911102403950051, 'Hierarchy')","(0.691595402665014, 'MoodleProvider')","(0.6918182122932863, 'CodebookUpdate')","(1, 'Delete')"
ScienceDirect,"(0.07381802385501977, 'Dropbox')","(0.0739570637691803, 'DOI')","(0.2803921097575189, 'TXT')","(0.32730853250584735, 'Hypothesis')","(0.36496710026984003, 'MoodleConsumer')","(0.40750399360672185, 'PreviousAssignments')","(0.44922892050977553, 'GoogleSheetProvider')","(0.46695383974208127, 'WebAnnotationClient')","(0.4846441090153349, 'Neo4J')","(0.4854023634947105, 'AnnotationServer')","(0.5060300053370853, 'Remote')","(0.5312618856348735, 'Hosting')","(0.5718639647042232, 'URN')","(0.5807211194091979, 'BrowserStorage')","(0.5903233336874322, 'MoodleResource')","(0.5920765221097624, 'ApplicationBased')","(0.5938650084382064, 'Manual')","(0.5956740170703795, 'ACM')","(0.5957027031669921, 'Springer')","(0.6024140222224659, 'BuiltIn')","(0.604417780075323, 'PDF')","(0.6122159008112414, 'MoodleComment')","(0.6164877676502842, 'MoodleProvider')","(0.6184717571892508, 'Codebook')","(0.6204111934314167, 'URL')","(0.6221918702890623, 'AnnotatedPDF')","(0.624701400968143, 'Replying')","(0.6328226086739258, 'ImportCodebook')","(0.6336755178411764, 'Categorize')","(0.6491099139712633, 'Multivalued')","(0.6512964184353082, 'TextSummary')","(0.6531145669468923, 'MoodleReport')","(0.6581852840293461, 'MoodleResourceBased')","(0.6583145320936326, 'Alphabetical')","(0.6583145320936326, 'Number')","(0.6640461574660115, 'Commenting')","(0.6681202449135051, 'Date')","(0.6696144445920682, 'HTML')","(0.6745764828582459, 'Export')","(0.678461676944333, 'Canvas')","(0.6784616769443333, 'Assessing')","(0.6789745056292049, 'SentimentAnalysis')","(0.679211071663661, 'LastAnnotation')","(0.6807516202249246, 'AnnotationList')","(0.6823397905142045, 'JSON')","(0.6844360342945297, 'Autocomplete')","(0.6858698631419133, 'SuggestedLiterature')","(0.6859054977022563, 'Create')","(0.6860434839690934, 'Update')","(0.6860768950769659, 'Delete')","(0.6863987534598397, 'Selector')","(0.6866099766355466, 'DeleteAll')","(0.6868738106443398, 'ImportAnnotations')","(0.6881944939837986, 'Classifying')","(0.6884385148983958, 'SidebarNavigation')","(0.6885073409419851, 'UserFilter')","(0.6895076079880345, 'GoogleSheetConsumer')","(0.6898297426404618, 'ExportCodebook')","(0.689864751321046, 'CodebookDelete')","(0.6899204633029683, 'RenameCodebook')","(0.6911352260809633, 'Hierarchy')","(0.6918207161399108, 'CodebookUpdate')","(1, 'ScienceDirect')"
TextSummary,"(0.1581738255369093, 'Canvas')","(0.1583193037807109, 'LastAnnotation')","(0.15889314398508342, 'AnnotationList')","(0.30556742499620937, 'JSON')","(0.37736573859105116, 'AnnotatedPDF')","(0.4786166083562977, 'URN')","(0.47889618998269273, 'ImportAnnotations')","(0.4792474401108129, 'DeleteAll')","(0.5341625138651799, 'TXT')","(0.553221329271524, 'MoodleReport')","(0.5739375817021306, 'Commenting')","(0.5960166872978876, 'Replying')","(0.6003609943595595, 'GoogleSheetConsumer')","(0.6010867207092055, 'URL')","(0.64057272524277, 'MoodleResourceBased')","(0.6409485283539641, 'Alphabetical')","(0.6409485283539641, 'Number')","(0.6453974887176086, 'WebAnnotationClient')","(0.6512964184353082, 'ScienceDirect')","(0.6532213751782248, 'Date')","(0.6555337255238332, 'HTML')","(0.6610394962629395, 'PDF')","(0.6628867691301272, 'Export')","(0.6691621670735198, 'Assessing')","(0.6700230863410361, 'SentimentAnalysis')","(0.6706269146854688, 'ImportCodebook')","(0.6706308943937335, 'MoodleComment')","(0.6728382244114058, 'Categorize')","(0.6757778361627711, 'Remote')","(0.6777305922718386, 'Dropbox')","(0.6786875743217673, 'Autocomplete')","(0.6804220923444264, 'MoodleConsumer')","(0.6806068463124996, 'Neo4J')","(0.6819219933182166, 'SuggestedLiterature')","(0.6819825509320738, 'Create')","(0.6821961799320833, 'Selector')","(0.6822166598108045, 'Update')","(0.6822166654615429, 'DOI')","(0.6822732521433305, 'Delete')","(0.6824386117261744, 'ACM')","(0.6824923154537887, 'Springer')","(0.6830649899644565, 'PreviousAssignments')","(0.6841424483469809, 'MoodleResource')","(0.685381789554009, 'Codebook')","(0.6854316977639352, 'SidebarNavigation')","(0.6855158394602328, 'Classifying')","(0.6862610037434411, 'UserFilter')","(0.6863070203750798, 'BuiltIn')","(0.6864971988430636, 'Hosting')","(0.6866235077152825, 'Hypothesis')","(0.6869348201953281, 'ApplicationBased')","(0.6871807183634889, 'BrowserStorage')","(0.6872232027157307, 'Multivalued')","(0.6873695225244829, 'GoogleSheetProvider')","(0.6878172582508157, 'ExportCodebook')","(0.6881242008511894, 'CodebookDelete')","(0.6884233155532609, 'RenameCodebook')","(0.6888516616220026, 'Manual')","(0.6893599635517469, 'AnnotationServer')","(0.6896184691196539, 'Hierarchy')","(0.6903406078397136, 'MoodleProvider')","(0.691083634686195, 'CodebookUpdate')","(1, 'TextSummary')"
MoodleConsumer,"(0.15763680961321175, 'MoodleProvider')","(0.2232300852300597, 'MoodleReport')","(0.23646040500276905, 'MoodleComment')","(0.23761154286743727, 'MoodleResource')","(0.31638236948853893, 'PreviousAssignments')","(0.3348912448128454, 'Dropbox')","(0.3364875157188569, 'DOI')","(0.36496710026984003, 'ScienceDirect')","(0.3757162967006258, 'MoodleResourceBased')","(0.44110882749299396, 'TXT')","(0.4899662929433153, 'Autocomplete')","(0.5248239613944128, 'GoogleSheetProvider')","(0.5639547532346016, 'Hypothesis')","(0.5944237552831961, 'Date')","(0.6050526791398124, 'CodebookUpdate')","(0.618796981240564, 'Remote')","(0.6198568621583225, 'Hierarchy')","(0.621086832989697, 'URL')","(0.6307249021729442, 'Codebook')","(0.6358300108897551, 'Selector')","(0.6450245665598022, 'ImportCodebook')","(0.6509167187972661, 'Replying')","(0.6575177822025104, 'Alphabetical')","(0.6575177822025104, 'Number')","(0.6610441576024038, 'WebAnnotationClient')","(0.6628549226119367, 'BuiltIn')","(0.6685356570211309, 'HTML')","(0.669025435659425, 'ApplicationBased')","(0.6725095974312354, 'PDF')","(0.6735027336714876, 'Export')","(0.6774866630344258, 'Assessing')","(0.6774866630344258, 'Canvas')","(0.678019921730139, 'SentimentAnalysis')","(0.6782665218594064, 'LastAnnotation')","(0.6787826446425018, 'URN')","(0.6798399630906701, 'Categorize')","(0.6798818455714121, 'AnnotationList')","(0.6804220923444264, 'TextSummary')","(0.6815348706725344, 'JSON')","(0.6823745762814457, 'Commenting')","(0.6840971884211227, 'AnnotatedPDF')","(0.6848587199972059, 'Neo4J')","(0.685350793281028, 'SuggestedLiterature')","(0.6853892440236341, 'Create')","(0.6855381294700893, 'Update')","(0.685574215133534, 'Delete')","(0.6856797309371596, 'ACM')","(0.6857140472764925, 'Springer')","(0.6860780199251373, 'DeleteAll')","(0.6863818970950173, 'ImportAnnotations')","(0.687832652840991, 'Classifying')","(0.6880444605412037, 'SidebarNavigation')","(0.6881966023661487, 'UserFilter')","(0.6884883302331539, 'Hosting')","(0.6889859635274438, 'BrowserStorage')","(0.689127399659945, 'Multivalued')","(0.689246981211854, 'GoogleSheetConsumer')","(0.6895646994537574, 'ExportCodebook')","(0.6896295500323433, 'CodebookDelete')","(0.6897126410113655, 'RenameCodebook')","(0.6904669314800927, 'Manual')","(0.6905731749985915, 'AnnotationServer')","(1, 'MoodleConsumer')"
LastAnnotation,"(6.2628727261086e-05, 'Canvas')","(0.0002550299222741034, 'AnnotationList')","(0.1583193037807109, 'TextSummary')","(0.20859367792523822, 'JSON')","(0.30558129738239526, 'AnnotatedPDF')","(0.4382046053821111, 'ImportAnnotations')","(0.43861642873560813, 'DeleteAll')","(0.5306970596549357, 'MoodleReport')","(0.5875254256380846, 'GoogleSheetConsumer')","(0.5960625358101779, 'URL')","(0.632279719367642, 'MoodleResourceBased')","(0.632827523778362, 'Alphabetical')","(0.632827523778362, 'Number')","(0.637545253225656, 'WebAnnotationClient')","(0.6460560568991311, 'Date')","(0.6488365784614674, 'HTML')","(0.6550144813748862, 'PDF')","(0.6574488770124587, 'Export')","(0.6640914981092765, 'TXT')","(0.6649831185797357, 'Assessing')","(0.6660233097984547, 'SentimentAnalysis')","(0.6666339884993526, 'MoodleComment')","(0.6667500145186445, 'URN')","(0.6693155444014552, 'Categorize')","(0.6727287662286773, 'Remote')","(0.6739883071779561, 'Commenting')","(0.6753140354421012, 'Dropbox')","(0.6759785141184946, 'Autocomplete')","(0.6782665218594064, 'MoodleConsumer')","(0.6783167323414176, 'Neo4J')","(0.679211071663661, 'ScienceDirect')","(0.6802122305066973, 'Selector')","(0.680284994724141, 'SuggestedLiterature')","(0.6803560786220959, 'Create')","(0.680630651786797, 'Update')","(0.6806306586964832, 'DOI')","(0.6806969709509603, 'Delete')","(0.6808906261854176, 'ACM')","(0.6809049546037416, 'Replying')","(0.6809534791538346, 'Springer')","(0.6810825812823561, 'PreviousAssignments')","(0.6823455937956124, 'MoodleResource')","(0.6828564221426678, 'ImportCodebook')","(0.6835482173319223, 'Codebook')","(0.6839004137334537, 'SidebarNavigation')","(0.6842957930499343, 'Classifying')","(0.6844887078944684, 'BuiltIn')","(0.6851134590923711, 'Hypothesis')","(0.6853089194124269, 'UserFilter')","(0.6853669434400929, 'ApplicationBased')","(0.6854342547480097, 'Hosting')","(0.6857756407845548, 'GoogleSheetProvider')","(0.6861177977274884, 'Multivalued')","(0.6861847406520032, 'BrowserStorage')","(0.6867735915053546, 'ExportCodebook')","(0.6872791739144861, 'CodebookDelete')","(0.6877500953903855, 'RenameCodebook')","(0.6877951671156921, 'Manual')","(0.6886192118222993, 'AnnotationServer')","(0.6887389817902878, 'Hierarchy')","(0.6895731385989154, 'MoodleProvider')","(0.6906783925719902, 'CodebookUpdate')","(1, 'LastAnnotation')"
Manual,"(0.05162219546031807, 'RenameCodebook')","(0.06376915689051937, 'CodebookDelete')","(0.10794536302490648, 'ExportCodebook')","(0.14844641441286605, 'ImportCodebook')","(0.1500744321258028, 'ApplicationBased')","(0.1946225110554829, 'BuiltIn')","(0.3163361156390267, 'Codebook')","(0.4485945089615044, 'GoogleSheetProvider')","(0.44957738591007834, 'PreviousAssignments')","(0.48928161946718113, 'MoodleResource')","(0.4950114399260876, 'Hypothesis')","(0.5225995166174813, 'Hosting')","(0.530817160404403, 'Neo4J')","(0.545673196102888, 'DeleteAll')","(0.5641467471361548, 'ACM')","(0.5641533834321283, 'Springer')","(0.5741264250878125, 'URN')","(0.5743374526588847, 'WebAnnotationClient')","(0.5840481833664469, 'AnnotationServer')","(0.5878508206740806, 'Autocomplete')","(0.5903575906221139, 'PDF')","(0.5911181532899343, 'AnnotatedPDF')","(0.5938532068955872, 'Remote')","(0.5938650084382064, 'ScienceDirect')","(0.5967528752490286, 'MoodleComment')","(0.6267769236705282, 'BrowserStorage')","(0.6272971495822559, 'Categorize')","(0.6304635940862537, 'MoodleProvider')","(0.6413695215349059, 'URL')","(0.6483847731307861, 'MoodleReport')","(0.6520702249049345, 'GoogleSheetConsumer')","(0.6632900741165884, 'Multivalued')","(0.6737101165203283, 'MoodleResourceBased')","(0.6737240702314524, 'Alphabetical')","(0.6737240702314524, 'Number')","(0.6811229256970568, 'Date')","(0.6820611239020087, 'HTML')","(0.6852395802928497, 'Export')","(0.6874136260370283, 'Canvas')","(0.687413626037029, 'Assessing')","(0.6875113496177434, 'TXT')","(0.6876761277824117, 'SentimentAnalysis')","(0.6877951671156921, 'LastAnnotation')","(0.6885379746279178, 'AnnotationList')","(0.6888516616220026, 'TextSummary')","(0.6893075502704413, 'JSON')","(0.6896880971993683, 'Commenting')","(0.6896982226845845, 'Dropbox')","(0.6904669314800927, 'MoodleConsumer')","(0.6906018888526795, 'SuggestedLiterature')","(0.6906142596900805, 'Create')","(0.6906619462123764, 'Update')","(0.690661946621659, 'DOI')","(0.690673440774962, 'Delete')","(0.6909128168618741, 'Selector')","(0.6910355660743097, 'ImportAnnotations')","(0.691200945310581, 'Replying')","(0.6914132164527838, 'Classifying')","(0.6914672537420885, 'UserFilter')","(0.6915732129697328, 'SidebarNavigation')","(0.6924307658656901, 'Hierarchy')","(0.6925840370058993, 'CodebookUpdate')","(1, 'Manual')"
Assessing,"(0.0051687458531735845, 'SuggestedLiterature')","(0.0432902779788291, 'Categorize')","(0.1281212177908916, 'Commenting')","(0.22211088909018165, 'TXT')","(0.40029840265431943, 'Neo4J')","(0.4150637942281689, 'Classifying')","(0.42410935371557984, 'PDF')","(0.43502267193421945, 'Autocomplete')","(0.4908345074400766, 'Selector')","(0.5085772756183123, 'SidebarNavigation')","(0.5246554051617026, 'Hypothesis')","(0.5810265847099294, 'URN')","(0.5890281941669686, 'URL')","(0.6047144950835182, 'MoodleReport')","(0.6182866059308862, 'Replying')","(0.6278141664335943, 'MoodleResourceBased')","(0.6284266763945914, 'Alphabetical')","(0.6284266763945914, 'Number')","(0.6335461582799866, 'WebAnnotationClient')","(0.6427805444218495, 'Date')","(0.6458240783448372, 'HTML')","(0.6551842351769542, 'Export')","(0.6633405436468818, 'Canvas')","(0.664462702180621, 'SentimentAnalysis')","(0.6649831185797357, 'LastAnnotation')","(0.665092845612109, 'MoodleComment')","(0.6684055417063335, 'AnnotationList')","(0.6691621670735198, 'TextSummary')","(0.671503731667209, 'JSON')","(0.6716001001110756, 'Remote')","(0.6744242427117544, 'Dropbox')","(0.6757132699915563, 'AnnotatedPDF')","(0.6774866630344258, 'MoodleConsumer')","(0.6784616769443333, 'ScienceDirect')","(0.6797710954398564, 'Create')","(0.6799084316954407, 'DeleteAll')","(0.680060808071834, 'Update')","(0.6800608153760932, 'DOI')","(0.6801307597522259, 'Delete')","(0.6803349677489612, 'ACM')","(0.6803688426639314, 'PreviousAssignments')","(0.6804012282655152, 'Springer')","(0.6807817004382335, 'ImportAnnotations')","(0.6816995519551359, 'MoodleResource')","(0.6821264296952763, 'ImportCodebook')","(0.6828856509048179, 'Codebook')","(0.6838311009853788, 'BuiltIn')","(0.6848008156896421, 'ApplicationBased')","(0.684970568264081, 'UserFilter')","(0.6850545861965885, 'Hosting')","(0.685197864308803, 'GoogleSheetProvider')","(0.6857212074169949, 'Multivalued')","(0.6858280272838742, 'BrowserStorage')","(0.6863419267294244, 'GoogleSheetConsumer')","(0.6863983621018965, 'ExportCodebook')","(0.6869768242316604, 'CodebookDelete')","(0.687413626037029, 'Manual')","(0.6875102856237209, 'RenameCodebook')","(0.6883520278488289, 'AnnotationServer')","(0.6884200748485765, 'Hierarchy')","(0.6892949742473808, 'MoodleProvider')","(0.6905314357430002, 'CodebookUpdate')","(1, 'Assessing')"
HTML,"(0.13532448394964436, 'Replying')","(0.14082560001679267, 'Selector')","(0.14348865153581322, 'MoodleResourceBased')","(0.23685891026867872, 'PDF')","(0.36428531636855693, 'Commenting')","(0.4051795854632423, 'BuiltIn')","(0.41368456137267595, 'ApplicationBased')","(0.4940914636954919, 'URL')","(0.537388745873688, 'Hypothesis')","(0.5393838187620281, 'SidebarNavigation')","(0.5674120704508245, 'Codebook')","(0.5741848676348194, 'Alphabetical')","(0.5741848676348194, 'Number')","(0.5800198433738687, 'URN')","(0.585153946306183, 'WebAnnotationClient')","(0.6034808572639101, 'PreviousAssignments')","(0.6043852985562642, 'Date')","(0.629843258585709, 'Hierarchy')","(0.6301993523189298, 'Export')","(0.6330488017215494, 'ImportCodebook')","(0.6427946483890132, 'TXT')","(0.6458240783448369, 'Canvas')","(0.6458240783448372, 'Assessing')","(0.6478873845719482, 'SentimentAnalysis')","(0.6483733638682736, 'MoodleComment')","(0.6488365784614674, 'LastAnnotation')","(0.6535921494453565, 'Categorize')","(0.6549530932806057, 'AnnotationList')","(0.6555337255238332, 'TextSummary')","(0.6590298956668426, 'Remote')","(0.6595028076639071, 'JSON')","(0.6632279201019501, 'Autocomplete')","(0.6642327772558573, 'AnnotatedPDF')","(0.665149661172386, 'Dropbox')","(0.6674914491582185, 'Neo4J')","(0.6685356570211309, 'MoodleConsumer')","(0.6696144445920682, 'ScienceDirect')","(0.6713535806268022, 'DeleteAll')","(0.6717876152945802, 'MoodleReport')","(0.6732253595117156, 'ImportAnnotations')","(0.6733422880806299, 'MoodleResource')","(0.6734543141493988, 'SuggestedLiterature')","(0.67356809503688, 'Create')","(0.6740062503936675, 'Update')","(0.6740062615625977, 'DOI')","(0.6741117605718094, 'Delete')","(0.6744191407216675, 'ACM')","(0.6745186753578591, 'Springer')","(0.6769401956107974, 'GoogleSheetProvider')","(0.6785938128943498, 'Classifying')","(0.6804092202044872, 'Hosting')","(0.6805438827427652, 'Multivalued')","(0.6811367168607534, 'UserFilter')","(0.6813176926436042, 'BrowserStorage')","(0.6813924182134175, 'ExportCodebook')","(0.6820611239020087, 'Manual')","(0.6822185429183485, 'GoogleSheetConsumer')","(0.6831097742884634, 'CodebookDelete')","(0.6845936332210438, 'RenameCodebook')","(0.6847055910748517, 'AnnotationServer')","(0.6852990269939663, 'MoodleProvider')","(0.6884635962396485, 'CodebookUpdate')","(1, 'HTML')"
Update,"(9.040060998461566e-08, 'Delete')","(1.5487118509728814e-06, 'Create')","(0.0004593584233207798, 'UserFilter')","(0.1305523268386337, 'DeleteAll')","(0.2146845678912508, 'JSON')","(0.2717964465789768, 'ImportAnnotations')","(0.37190545433198763, 'SidebarNavigation')","(0.3890635971084957, 'Neo4J')","(0.48708764291453766, 'AnnotatedPDF')","(0.5141618421256821, 'Remote')","(0.5247127737026649, 'Multivalued')","(0.5312560848941098, 'Replying')","(0.5611432033226247, 'ImportCodebook')","(0.5701160769906426, 'Autocomplete')","(0.6076886227261662, 'CodebookDelete')","(0.6245553573143438, 'ExportCodebook')","(0.6475632447922809, 'URL')","(0.6672432880804123, 'MoodleResourceBased')","(0.6673829763425156, 'Alphabetical')","(0.6673829763425156, 'Number')","(0.6694361232926623, 'WebAnnotationClient')","(0.6730072903023566, 'Date')","(0.6740062503936675, 'HTML')","(0.6765085226294977, 'PDF')","(0.6772642313904818, 'Export')","(0.6798852141881655, 'TXT')","(0.6800608080718338, 'Canvas')","(0.680060808071834, 'Assessing')","(0.6804496196631571, 'SentimentAnalysis')","(0.680630651786797, 'LastAnnotation')","(0.6807660773809374, 'MoodleComment')","(0.6809295745226035, 'URN')","(0.6817760173323952, 'Categorize')","(0.6818362103899702, 'AnnotationList')","(0.6822166598108045, 'TextSummary')","(0.6837211900152671, 'Commenting')","(0.6840570105158792, 'Dropbox')","(0.6855381294700893, 'MoodleConsumer')","(0.6860434839690934, 'ScienceDirect')","(0.6861859446909355, 'SuggestedLiterature')","(0.6863425535894172, 'DOI')","(0.6864612275283983, 'ACM')","(0.6864900373047839, 'Springer')","(0.6865694034747276, 'Selector')","(0.6871491518351254, 'PreviousAssignments')","(0.6872961997360512, 'MoodleReport')","(0.6877615499680283, 'MoodleResource')","(0.6882956484941247, 'Classifying')","(0.6886836484804618, 'Codebook')","(0.6888727562482051, 'Hosting')","(0.6893148455499138, 'BrowserStorage')","(0.6893392937287699, 'Hypothesis')","(0.6893797084554929, 'BuiltIn')","(0.6895482205182115, 'GoogleSheetConsumer')","(0.6896363956440102, 'ApplicationBased')","(0.6899670644170741, 'RenameCodebook')","(0.6900009272298753, 'GoogleSheetProvider')","(0.6906619462123764, 'Manual')","(0.6907519565699353, 'AnnotationServer')","(0.6911008810753471, 'Hierarchy')","(0.6915877776221381, 'MoodleProvider')","(0.6918133467580811, 'CodebookUpdate')","(1, 'Update')"
Hypothesis,"(0.1685686583946499, 'AnnotationServer')","(0.17561547125352783, 'WebAnnotationClient')","(0.26661342003940597, 'Remote')","(0.28774802311430564, 'Neo4J')","(0.32730853250584735, 'ScienceDirect')","(0.3328317731595548, 'ApplicationBased')","(0.36072364763318626, 'BuiltIn')","(0.38501573870401967, 'GoogleSheetProvider')","(0.41984894385588395, 'TXT')","(0.4495808612770727, 'Codebook')","(0.4515414363428989, 'Commenting')","(0.4775886189623927, 'BrowserStorage')","(0.48493293327171616, 'Selector')","(0.4893851026405665, 'PDF')","(0.4950114399260876, 'Manual')","(0.4988754473986352, 'Replying')","(0.498946165010865, 'Dropbox')","(0.4991861953844575, 'ImportCodebook')","(0.4997859859489589, 'DOI')","(0.5221238362381535, 'PreviousAssignments')","(0.5246554051617026, 'Assessing')","(0.527261211553025, 'SuggestedLiterature')","(0.5315121977742506, 'Categorize')","(0.537388745873688, 'HTML')","(0.552817575741062, 'MoodleResourceBased')","(0.5635583080553781, 'SidebarNavigation')","(0.5639547532346016, 'MoodleConsumer')","(0.5656522285474144, 'Autocomplete')","(0.5725948252526945, 'Hosting')","(0.5902207975725613, 'RenameCodebook')","(0.5912090073154439, 'CodebookDelete')","(0.5941952422444416, 'MoodleResource')","(0.5948545946367436, 'ExportCodebook')","(0.5966968742451242, 'Classifying')","(0.6038141157986827, 'MoodleProvider')","(0.6111004290816391, 'URN')","(0.6202724674786795, 'URL')","(0.6283146744697272, 'Multivalued')","(0.6447384480278522, 'DeleteAll')","(0.651883936878618, 'MoodleReport')","(0.6636218524691753, 'Hierarchy')","(0.6654641661654954, 'Alphabetical')","(0.6654641661654954, 'Number')","(0.6757320526889403, 'Date')","(0.6814940638203173, 'Export')","(0.6845682204971895, 'Canvas')","(0.684943094769593, 'SentimentAnalysis')","(0.6851134590923711, 'LastAnnotation')","(0.6853814915883645, 'MoodleComment')","(0.6861826763113327, 'AnnotationList')","(0.6866235077152825, 'TextSummary')","(0.6872903434216369, 'JSON')","(0.6889011235374098, 'AnnotatedPDF')","(0.6892658845382715, 'Create')","(0.6893392937287699, 'Update')","(0.6893570123836011, 'Delete')","(0.6894087352174798, 'ACM')","(0.6894255171998143, 'Springer')","(0.6898932505593782, 'ImportAnnotations')","(0.6906037383853327, 'UserFilter')","(0.6911601335793808, 'GoogleSheetConsumer')","(0.692367907709394, 'CodebookUpdate')","(1, 'Hypothesis')"
