QueryProject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Delete,"(0.000433351537702232, 'Create')","(0.00350126365893984, 'Update')","(0.020209514778652363, 'UserFilter')","(0.4173062144065981, 'DeleteAll')","(0.7040758337460725, 'Replying')","(0.710655302884898, 'Selector')","(0.742811605234631, 'Remote')","(0.7452972143037305, 'Autocomplete')","(0.746891853022741, 'SidebarNavigation')","(0.7958065863316655, 'CodebookDelete')","(0.8040040183499886, 'Hierarchy')","(0.817802950106498, 'URL')","(0.8185569160998457, 'Alphabetical')","(0.8222969358685317, 'Date')","(0.8225169998157795, 'Number')","(0.8234721218926666, 'HTML')","(0.8243604785262771, 'Export')","(0.8248551816461582, 'Assessing')","(0.8249573320945676, 'TXT')","(0.8251847517117948, 'PDF')","(0.8256792239321941, 'Canvas')","(0.8257337785841597, 'Hypothesis')","(0.8259561661638133, 'LastAnnotation')","(0.8261241903145361, 'TextSummary')","(0.8266236755526792, 'SentimentAnalysis')","(0.8266261027541542, 'MoodleComment')","(0.8268444151269847, 'AnnotationList')","(0.8270000770314114, 'Categorize')","(0.8274858007625264, 'Dropbox')","(0.8281983027660579, 'URN')","(0.8283013024036636, 'JSON')","(0.8285603045717298, 'Commenting')","(0.8285946236311802, 'DOI')","(0.8289220741193832, 'MoodleConsumer')","(0.8291344626806157, 'SuggestedLiterature')","(0.8291498462180941, 'Neo4J')","(0.8291885748680288, 'ScienceDirect')","(0.8294185776093759, 'ImportAnnotations')","(0.8294220411781241, 'ACM')","(0.8294404322690965, 'MoodleReport')","(0.8297242365557422, 'Springer')","(0.8297360576260349, 'AnnotatedPDF')","(0.8298107818181629, 'Classifying')","(0.8298203725761046, 'Codebook')","(0.8298946807304357, 'ImportCodebook')","(0.8301069077130144, 'PreviousAssignments')","(0.8302175412690996, 'ExportCodebook')","(0.830278880145285, 'BrowserStorage')","(0.8305223424491752, 'Multivalued')","(0.8305848600881192, 'MoodleResource')","(0.8306038446162785, 'BuiltIn')","(0.8306837725326262, 'Manual')","(0.8308853109672145, 'RenameCodebook')","(0.8309330873698147, 'AnnotationServer')","(0.8309742450919475, 'GoogleSheetConsumer')","(0.8311672082103265, 'ApplicationBased')","(0.8312610667492805, 'GoogleSheetProvider')","(0.8313069004561794, 'CodebookUpdate')","(0.831847986084517, 'MoodleProvider')","(1, 'Delete')"
ScienceDirect,"(0.16072206387474136, 'DOI')","(0.2775166296527537, 'ACM')","(0.2777695591580055, 'Springer')","(0.3718026180963889, 'PreviousAssignments')","(0.39164160053864466, 'Dropbox')","(0.6996443570558243, 'AnnotationServer')","(0.7047304773996893, 'Hypothesis')","(0.7082819275688182, 'Remote')","(0.7099443092912159, 'Autocomplete')","(0.7136260458033625, 'Neo4J')","(0.7378660745975709, 'URL')","(0.7541529760020548, 'Canvas')","(0.7622132502022699, 'TXT')","(0.7713619455259334, 'Manual')","(0.7720837863282137, 'TextSummary')","(0.7835346379387902, 'GoogleSheetProvider')","(0.8092765937485085, 'BrowserStorage')","(0.814921073874711, 'Alphabetical')","(0.8202410283402827, 'SuggestedLiterature')","(0.8210326302339643, 'Date')","(0.821158263348391, 'Number')","(0.8225837514312591, 'HTML')","(0.8240512380440053, 'Export')","(0.8245302376588444, 'Assessing')","(0.8249711148280328, 'PDF')","(0.825965700505345, 'LastAnnotation')","(0.8267854850472155, 'MoodleComment')","(0.8270795601797717, 'SentimentAnalysis')","(0.827206690754538, 'AnnotationList')","(0.8272250530487636, 'Categorize')","(0.8285483608714328, 'URN')","(0.828788425508656, 'JSON')","(0.8289241738820113, 'Commenting')","(0.8289723211698118, 'Update')","(0.8291618611780992, 'Create')","(0.8291885748680288, 'Delete')","(0.8292897875921232, 'MoodleConsumer')","(0.8295133447756123, 'DeleteAll')","(0.8298663235476507, 'Selector')","(0.8299878505141554, 'ImportAnnotations')","(0.830019156895854, 'MoodleReport')","(0.8300810717976491, 'AnnotatedPDF')","(0.8302681788969324, 'Classifying')","(0.8303645787930702, 'SidebarNavigation')","(0.8304066217209191, 'Replying')","(0.8304283626910369, 'UserFilter')","(0.8304567342843281, 'Codebook')","(0.8305473639988543, 'ImportCodebook')","(0.8307939757525499, 'ExportCodebook')","(0.8308726383450575, 'MoodleResource')","(0.8309074672692212, 'Multivalued')","(0.8310407727666178, 'CodebookDelete')","(0.8310726451320021, 'BuiltIn')","(0.8311482946531117, 'RenameCodebook')","(0.8312893433874081, 'Hierarchy')","(0.8313074505304816, 'GoogleSheetConsumer')","(0.8314062963875505, 'ApplicationBased')","(0.8316328660745486, 'CodebookUpdate')","(0.8320336629821458, 'MoodleProvider')","(1, 'ScienceDirect')"
TextSummary,"(0.3668323785251839, 'Canvas')","(0.3939977303576021, 'LastAnnotation')","(0.40354408400868763, 'AnnotatedPDF')","(0.5129240151031569, 'AnnotationList')","(0.5828832282573707, 'Dropbox')","(0.5835161724576668, 'URN')","(0.5929859275760677, 'JSON')","(0.6776066307868328, 'TXT')","(0.6820157002521954, 'ImportAnnotations')","(0.686495802549109, 'DeleteAll')","(0.6926214943396076, 'MoodleReport')","(0.7481053921343225, 'SentimentAnalysis')","(0.754619042659123, 'PreviousAssignments')","(0.7694281475749081, 'ACM')","(0.7699984254136286, 'Springer')","(0.7702666886771627, 'DOI')","(0.7712416252613048, 'Export')","(0.7720837863282137, 'ScienceDirect')","(0.7739577474267288, 'Alphabetical')","(0.7788337560927378, 'Autocomplete')","(0.7878943257144201, 'ImportCodebook')","(0.7945526087828723, 'MoodleComment')","(0.7971857584518904, 'GoogleSheetConsumer')","(0.7974621048277064, 'URL')","(0.8010608644034303, 'ExportCodebook')","(0.8025098331395394, 'MoodleResource')","(0.8037272630101064, 'Codebook')","(0.8100462404413296, 'Date')","(0.81025670299461, 'Remote')","(0.8105652303229188, 'Number')","(0.8120219858297674, 'BuiltIn')","(0.8131515028969554, 'HTML')","(0.8159561179254168, 'Multivalued')","(0.8168031622470314, 'Assessing')","(0.8176518306721734, 'PDF')","(0.8221201508460724, 'Categorize')","(0.8222972446913331, 'Manual')","(0.8255870611224948, 'Commenting')","(0.8256850793798823, 'Update')","(0.826070062103453, 'Create')","(0.8261241903145361, 'Delete')","(0.8263289265938742, 'MoodleConsumer')","(0.8266098555444342, 'Neo4J')","(0.8267184065764693, 'SuggestedLiterature')","(0.8268886851659066, 'Selector')","(0.8268975664989002, 'Hypothesis')","(0.8278470092543103, 'SidebarNavigation')","(0.8279031582612114, 'Classifying')","(0.8282089576687508, 'Replying')","(0.8285680704691301, 'UserFilter')","(0.8287714764400979, 'BrowserStorage')","(0.8292825987246099, 'Hierarchy')","(0.8294345373331766, 'CodebookDelete')","(0.8297662273531715, 'AnnotationServer')","(0.8298763901521298, 'RenameCodebook')","(0.8302511368704436, 'GoogleSheetProvider')","(0.8303138400381167, 'CodebookUpdate')","(0.8303138882820084, 'ApplicationBased')","(0.8312849731169589, 'MoodleProvider')","(1, 'TextSummary')"
MoodleConsumer,"(0.04403296650351481, 'MoodleProvider')","(0.5643778721258083, 'SentimentAnalysis')","(0.5848422309474178, 'Neo4J')","(0.6257213807114083, 'TXT')","(0.7629879523614226, 'Dropbox')","(0.7685835921157815, 'Hypothesis')","(0.8181754767869943, 'URL')","(0.8189235694061393, 'Alphabetical')","(0.822591909791796, 'Date')","(0.8228000443162117, 'Number')","(0.8237322800998893, 'HTML')","(0.8246042322499753, 'Export')","(0.8250787869489946, 'Assessing')","(0.8253990461324325, 'PDF')","(0.8258839281085575, 'Canvas')","(0.8261478117694102, 'LastAnnotation')","(0.8263289265938742, 'TextSummary')","(0.8267972087287148, 'MoodleComment')","(0.8269802587138707, 'Remote')","(0.827014687085295, 'AnnotationList')","(0.8271594312492588, 'Categorize')","(0.8281672088246301, 'Autocomplete')","(0.8283192596755515, 'URN')","(0.828424871009332, 'JSON')","(0.8286696661731275, 'Commenting')","(0.8287152666566946, 'Update')","(0.8287204392224858, 'DOI')","(0.8288963509703259, 'Create')","(0.8289220741193832, 'Delete')","(0.829019286135173, 'DeleteAll')","(0.8292291951717395, 'SuggestedLiterature')","(0.8292897875921232, 'ScienceDirect')","(0.8293931378172151, 'Selector')","(0.8295045181109421, 'ACM')","(0.8295136247711136, 'ImportAnnotations')","(0.8295356147153837, 'MoodleReport')","(0.8297977101783078, 'Springer')","(0.8298091852163801, 'AnnotatedPDF')","(0.8298892442972448, 'Classifying')","(0.8299112114975753, 'Codebook')","(0.8299138737708823, 'SidebarNavigation')","(0.8299855863429594, 'ImportCodebook')","(0.830046198981745, 'Replying')","(0.8301676850934818, 'UserFilter')","(0.830181863914348, 'PreviousAssignments')","(0.8302964841459394, 'ExportCodebook')","(0.8303421280446924, 'BrowserStorage')","(0.830580866913734, 'Multivalued')","(0.8306347202616167, 'MoodleResource')","(0.8306679988660634, 'BuiltIn')","(0.8307382667968382, 'CodebookDelete')","(0.8307514883155427, 'Manual')","(0.8308455865428681, 'Hierarchy')","(0.8309278728004639, 'RenameCodebook')","(0.830983013349227, 'AnnotationServer')","(0.8310213248676965, 'GoogleSheetConsumer')","(0.8312034948745546, 'ApplicationBased')","(0.8313044916105501, 'GoogleSheetProvider')","(0.8313496078804629, 'CodebookUpdate')","(1, 'MoodleConsumer')"
LastAnnotation,"(0.06305601236869092, 'AnnotatedPDF')","(0.14817043737780766, 'Canvas')","(0.3903890519269901, 'AnnotationList')","(0.3939977303576021, 'TextSummary')","(0.6115042699162736, 'JSON')","(0.6551607540829518, 'DeleteAll')","(0.6767443269548074, 'Dropbox')","(0.6992603987851115, 'MoodleReport')","(0.7190946666977173, 'ImportAnnotations')","(0.7360706505592589, 'SentimentAnalysis')","(0.7927974165931431, 'GoogleSheetConsumer')","(0.804963779473792, 'URL')","(0.8059456723465626, 'Alphabetical')","(0.8125970888756373, 'Date')","(0.8133341772406073, 'Number')","(0.8151827842078497, 'HTML')","(0.8166270790250499, 'Export')","(0.8166505078857312, 'TXT')","(0.8179453534800004, 'Assessing')","(0.8186157228963781, 'PDF')","(0.8211157385750598, 'Remote')","(0.8215727158299646, 'MoodleComment')","(0.8223387371582284, 'Categorize')","(0.823116197772078, 'Autocomplete')","(0.8245182094892655, 'DOI')","(0.8247498124287057, 'URN')","(0.8253460978439071, 'Hypothesis')","(0.8254562716738295, 'Commenting')","(0.8255471778178567, 'Update')","(0.8258525895298142, 'Neo4J')","(0.8259055992672979, 'Create')","(0.8259561661638133, 'Delete')","(0.825965700505345, 'ScienceDirect')","(0.8261437645340156, 'Selector')","(0.8261478117694102, 'MoodleConsumer')","(0.826354729039082, 'SuggestedLiterature')","(0.8266532044232342, 'Codebook')","(0.8266602648503479, 'ImportCodebook')","(0.8270753458453016, 'ACM')","(0.8270828029870371, 'SidebarNavigation')","(0.8273310901859083, 'Classifying')","(0.8274262276370757, 'ExportCodebook')","(0.8275980636834024, 'PreviousAssignments')","(0.8276179026069799, 'Springer')","(0.8276664165709815, 'Replying')","(0.8282091080576671, 'Manual')","(0.8282800320421053, 'UserFilter')","(0.8282810592569402, 'BrowserStorage')","(0.8283298383356307, 'BuiltIn')","(0.8283839427515562, 'Hierarchy')","(0.8285922898795696, 'Multivalued')","(0.8289292117698857, 'CodebookDelete')","(0.829076568091358, 'MoodleResource')","(0.8291866664972042, 'AnnotationServer')","(0.8295522918834165, 'RenameCodebook')","(0.8296711476332933, 'GoogleSheetProvider')","(0.8297309104933295, 'CodebookUpdate')","(0.8299812647986413, 'ApplicationBased')","(0.8309389275101058, 'MoodleProvider')","(1, 'LastAnnotation')"
Manual,"(0.22024390575528385, 'RenameCodebook')","(0.23686098731308666, 'CodebookDelete')","(0.34694211660581964, 'ExportCodebook')","(0.5496849802576722, 'ImportCodebook')","(0.6349443879030647, 'DeleteAll')","(0.6570942334694948, 'Neo4J')","(0.7007298959289575, 'TXT')","(0.7108892715064502, 'Hypothesis')","(0.730716770062538, 'CodebookUpdate')","(0.7350859271070022, 'Codebook')","(0.7430840440986327, 'AnnotationServer')","(0.748317589886976, 'Remote')","(0.7713619455259334, 'ScienceDirect')","(0.7746508247278932, 'DOI')","(0.7761452504823818, 'ApplicationBased')","(0.778210265807993, 'BuiltIn')","(0.7913572119296964, 'PreviousAssignments')","(0.7949995861171955, 'GoogleSheetProvider')","(0.8138333072283036, 'BrowserStorage')","(0.8160202579600957, 'ACM')","(0.8161744525668154, 'Springer')","(0.8166229679207931, 'URL')","(0.8168588224772139, 'Dropbox')","(0.8181088702882625, 'Alphabetical')","(0.8205578343697214, 'Canvas')","(0.821182251417417, 'Autocomplete')","(0.8222972446913331, 'TextSummary')","(0.8239005493919569, 'Date')","(0.8239192735864541, 'Number')","(0.8252296000048563, 'HTML')","(0.8266546673178207, 'Export')","(0.8269739494738437, 'Assessing')","(0.8273589923622102, 'PDF')","(0.8282091080576671, 'LastAnnotation')","(0.8288859129548649, 'MoodleComment')","(0.829237838077957, 'Categorize')","(0.8293059770519096, 'SentimentAnalysis')","(0.8293252027734522, 'AnnotationList')","(0.8302384814587727, 'URN')","(0.8305000457212862, 'JSON')","(0.8305033442151784, 'Commenting')","(0.83053657378856, 'Update')","(0.8306657733955031, 'Create')","(0.8306837725326262, 'Delete')","(0.8307514883155427, 'MoodleConsumer')","(0.8309856726000336, 'SuggestedLiterature')","(0.8312538071585647, 'AnnotatedPDF')","(0.8312712390654662, 'Selector')","(0.8313468559470123, 'ImportAnnotations')","(0.8313725143291414, 'MoodleReport')","(0.8314474386050441, 'Classifying')","(0.8314588715294238, 'UserFilter')","(0.8315183806720525, 'Replying')","(0.8315589997838295, 'SidebarNavigation')","(0.8317084472044547, 'MoodleResource')","(0.8317918161270546, 'Multivalued')","(0.8319964527064297, 'GoogleSheetConsumer')","(0.8321004901883527, 'Hierarchy')","(0.8323357773650032, 'MoodleProvider')","(1, 'Manual')"
Assessing,"(0.03989734829892107, 'Categorize')","(0.06571199169360793, 'Commenting')","(0.09181817903462819, 'SuggestedLiterature')","(0.2229122585751945, 'Replying')","(0.2826932874180818, 'Selector')","(0.3988491684496464, 'SentimentAnalysis')","(0.48528594248336404, 'Classifying')","(0.5243105469859414, 'AnnotationList')","(0.5430992780394982, 'Autocomplete')","(0.722453229333161, 'SidebarNavigation')","(0.7624544361568482, 'TXT')","(0.774778976341142, 'Hypothesis')","(0.7991633683209298, 'URL')","(0.8002551568394924, 'Alphabetical')","(0.8084319802585728, 'Date')","(0.8094661249409275, 'Number')","(0.8117586500402685, 'HTML')","(0.8134188007793696, 'Export')","(0.8160046702929764, 'PDF')","(0.8168031622470314, 'TextSummary')","(0.8168507055409354, 'Canvas')","(0.8179453534800004, 'LastAnnotation')","(0.8186971512416986, 'Remote')","(0.8196240305881867, 'MoodleComment')","(0.8198168107905547, 'Dropbox')","(0.8226911342810523, 'DOI')","(0.8230860505254185, 'JSON')","(0.8234366183746519, 'URN')","(0.8238127977541947, 'DeleteAll')","(0.8243756138636221, 'Neo4J')","(0.8243763353153536, 'Update')","(0.8245302376588444, 'ScienceDirect')","(0.8247960985008655, 'Create')","(0.8248551816461582, 'Delete')","(0.8249049624510781, 'MoodleReport')","(0.824942832143343, 'ImportAnnotations')","(0.8250637331028007, 'ImportCodebook')","(0.8250787869489946, 'MoodleConsumer')","(0.8251178713739346, 'Codebook')","(0.826062143715774, 'ExportCodebook')","(0.826153623895908, 'ACM')","(0.8264219790721163, 'PreviousAssignments')","(0.8267763306437297, 'Springer')","(0.826800252008034, 'AnnotatedPDF')","(0.8269739494738437, 'Manual')","(0.8271860289583334, 'Hierarchy')","(0.8272121180979981, 'BuiltIn')","(0.8273905008212725, 'BrowserStorage')","(0.8275297699461208, 'UserFilter')","(0.8276938625983232, 'Multivalued')","(0.8281144252655047, 'CodebookDelete')","(0.8283322866337303, 'AnnotationServer')","(0.828425866279879, 'MoodleResource')","(0.8285858500233734, 'GoogleSheetConsumer')","(0.8288678514580737, 'GoogleSheetProvider')","(0.8289303330627174, 'CodebookUpdate')","(0.828955167722293, 'RenameCodebook')","(0.8294282585272068, 'ApplicationBased')","(0.8304668886995187, 'MoodleProvider')","(1, 'Assessing')"
HTML,"(0.7915580609962657, 'URL')","(0.7927901120228747, 'Alphabetical')","(0.7947035457934752, 'Hypothesis')","(0.8031026510852607, 'Date')","(0.8045848758605677, 'Number')","(0.8080604523262752, 'TXT')","(0.8093638542913192, 'Export')","(0.8117586500402685, 'Assessing')","(0.8127861254876073, 'PDF')","(0.8131515028969554, 'TextSummary')","(0.8136775501345638, 'Canvas')","(0.8151827842078497, 'LastAnnotation')","(0.8155309664047669, 'Remote')","(0.8156267059481997, 'SentimentAnalysis')","(0.8166408151855432, 'Dropbox')","(0.8169751181867361, 'AnnotationList')","(0.8172353194704575, 'MoodleComment')","(0.8178132486457926, 'Autocomplete')","(0.8183604593289807, 'Categorize')","(0.8202231195248206, 'DOI')","(0.821120846162316, 'JSON')","(0.8216857392256381, 'DeleteAll')","(0.821808247216375, 'URN')","(0.8223664072195419, 'Neo4J')","(0.8225837514312591, 'ScienceDirect')","(0.8227880356067432, 'Commenting')","(0.8228020175069587, 'Selector')","(0.8228039209275404, 'ImportCodebook')","(0.8229130174801189, 'Update')","(0.8229429994620384, 'MoodleReport')","(0.822962532696617, 'Codebook')","(0.8230290729352059, 'ImportAnnotations')","(0.8234032810397461, 'Create')","(0.8234721218926666, 'Delete')","(0.8237322800998893, 'MoodleConsumer')","(0.823780184986266, 'SuggestedLiterature')","(0.8240471659067305, 'SidebarNavigation')","(0.8241461508050842, 'ExportCodebook')","(0.8247149682804871, 'Classifying')","(0.8247924688996587, 'PreviousAssignments')","(0.824974234977705, 'ACM')","(0.8252296000048563, 'Manual')","(0.8252372100704953, 'Replying')","(0.8254955268951805, 'Hierarchy')","(0.8256351529520112, 'BuiltIn')","(0.825686925418809, 'Springer')","(0.8257141986693863, 'AnnotatedPDF')","(0.8261800454780138, 'BrowserStorage')","(0.8264485022606772, 'Multivalued')","(0.8265420510873539, 'UserFilter')","(0.8269885112390931, 'CodebookDelete')","(0.8271248407355193, 'AnnotationServer')","(0.8275020488916143, 'GoogleSheetConsumer')","(0.8275480080268006, 'MoodleResource')","(0.8277204528319937, 'GoogleSheetProvider')","(0.8277846775510352, 'CodebookUpdate')","(0.8281359897761083, 'RenameCodebook')","(0.828657169070031, 'ApplicationBased')","(0.829783523345234, 'MoodleProvider')","(1, 'HTML')"
Update,"(0.0030680689771195946, 'Create')","(0.00350126365893984, 'Delete')","(0.023639560078759995, 'UserFilter')","(0.41714944254312736, 'DeleteAll')","(0.7039671350221222, 'Replying')","(0.7104807941348336, 'Selector')","(0.7424319176434443, 'Remote')","(0.7449950555681677, 'Autocomplete')","(0.746748043402244, 'SidebarNavigation')","(0.7957206913803612, 'CodebookDelete')","(0.8038873095873242, 'Hierarchy')","(0.8169956410309367, 'URL')","(0.8177625418637373, 'Alphabetical')","(0.821660936680636, 'Date')","(0.8219074937285958, 'Number')","(0.8229130174801189, 'HTML')","(0.8238371124813668, 'Export')","(0.8243763353153536, 'Assessing')","(0.8244165382557143, 'TXT')","(0.8247262915625452, 'PDF')","(0.8252413896930302, 'Canvas')","(0.8254954146689923, 'Hypothesis')","(0.8255471778178567, 'LastAnnotation')","(0.8256850793798823, 'TextSummary')","(0.8262347111364616, 'SentimentAnalysis')","(0.8262618118199485, 'MoodleComment')","(0.8264812504932351, 'AnnotationList')","(0.8266612764798973, 'Categorize')","(0.8271339762831765, 'Dropbox')","(0.8279422743509574, 'URN')","(0.8280386227284385, 'JSON')","(0.8283250211579343, 'DOI')","(0.8283290887384372, 'Commenting')","(0.8287152666566946, 'MoodleConsumer')","(0.8289295797270647, 'Neo4J')","(0.8289337389539646, 'SuggestedLiterature')","(0.8289723211698118, 'ScienceDirect')","(0.8292151726111638, 'ImportAnnotations')","(0.8292365492589843, 'MoodleReport')","(0.8292479541489943, 'ACM')","(0.8295691391419435, 'Springer')","(0.8295816884956756, 'AnnotatedPDF')","(0.8296242476378161, 'Codebook')","(0.8296434399596498, 'Classifying')","(0.8296979281034823, 'ImportCodebook')","(0.8299459278780191, 'PreviousAssignments')","(0.8300467578546474, 'ExportCodebook')","(0.8301440277440169, 'BrowserStorage')","(0.8303969575837018, 'Multivalued')","(0.8304650642128786, 'BuiltIn')","(0.830479172501612, 'MoodleResource')","(0.83053657378856, 'Manual')","(0.8307947665555464, 'RenameCodebook')","(0.8308253344407334, 'AnnotationServer')","(0.8308728777891914, 'GoogleSheetConsumer')","(0.831089630924342, 'ApplicationBased')","(0.8311667475253404, 'GoogleSheetProvider')","(0.8312140353555938, 'CodebookUpdate')","(0.8317955166846951, 'MoodleProvider')","(1, 'Update')"
Hypothesis,"(0.41194277357445597, 'AnnotationServer')","(0.4240669909188208, 'Neo4J')","(0.47585106414807526, 'Remote')","(0.6351593022572617, 'ApplicationBased')","(0.6471070105721594, 'BuiltIn')","(0.6636511061796915, 'TXT')","(0.6836067270610613, 'Codebook')","(0.7047304773996893, 'ScienceDirect')","(0.7107221042008512, 'DOI')","(0.7108892715064502, 'Manual')","(0.7112016029879423, 'GoogleSheetProvider')","(0.7375168652219521, 'SentimentAnalysis')","(0.7400196483493235, 'ImportCodebook')","(0.7685835921157815, 'MoodleConsumer')","(0.771024526762028, 'MoodleProvider')","(0.774778976341142, 'Assessing')","(0.7773078169645787, 'SuggestedLiterature')","(0.778117172148725, 'Categorize')","(0.7800359149288721, 'Commenting')","(0.7802263562587831, 'Replying')","(0.7810984134434643, 'Selector')","(0.7891541059903131, 'AnnotationList')","(0.7898098151886269, 'Autocomplete')","(0.7902929838324645, 'Classifying')","(0.7947035457934752, 'HTML')","(0.7958008661067182, 'URL')","(0.7978875758931803, 'BrowserStorage')","(0.7993886452463542, 'Dropbox')","(0.8031617680250852, 'GoogleSheetConsumer')","(0.8045358903327797, 'SidebarNavigation')","(0.8088008921140303, 'Alphabetical')","(0.8181991783723653, 'Date')","(0.8182291939011603, 'Number')","(0.8202004442471498, 'Hierarchy')","(0.8227491898028441, 'Export')","(0.823922079480899, 'PDF')","(0.825187677632688, 'Canvas')","(0.8253460978439071, 'LastAnnotation')","(0.8254954146689923, 'Update')","(0.8257046357971765, 'Create')","(0.8257337785841597, 'Delete')","(0.8264853530745111, 'MoodleComment')","(0.826652582687507, 'DeleteAll')","(0.8268975664989002, 'TextSummary')","(0.8269849743449956, 'UserFilter')","(0.8287768103842958, 'URN')","(0.8292246268543678, 'JSON')","(0.829607812877052, 'CodebookDelete')","(0.830189269815072, 'ACM')","(0.8304919333284463, 'Springer')","(0.8305034314439544, 'AnnotatedPDF')","(0.8306666053869176, 'ImportAnnotations')","(0.8307101915346047, 'MoodleReport')","(0.8312356905329084, 'PreviousAssignments')","(0.8312684436656979, 'MoodleResource')","(0.8314086809086383, 'Multivalued')","(0.8315033875085923, 'ExportCodebook')","(0.8315145488110899, 'RenameCodebook')","(0.8320324103269624, 'CodebookUpdate')","(1, 'Hypothesis')"
