QueryProject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Delete,"(0.20117503809219398, 'Canvas')","(0.20117503809219406, 'Selector')","(0.20117503809219411, 'PDF')","(0.20117503809219411, 'URL')","(0.20117503809219417, 'MoodleReport')","(0.2011750380921943, 'Assessing')","(0.2011750380921943, 'BuiltIn')","(0.20117503809219434, 'Codebook')","(0.20117503809219434, 'UserFilter')","(0.3633820275612405, 'Classifying')","(0.3633820275612407, 'RenameCodebook')","(0.40530168251551124, 'DOI')","(0.40530168251551135, 'CodebookDelete')","(0.4360621241506524, 'GoogleSheetConsumer')","(0.43606212415065243, 'ImportCodebook')","(0.4360621241506527, 'LastAnnotation')","(0.4360621241506528, 'DeleteAll')","(0.4360621241506535, 'Remote')","(0.47863107331315985, 'MoodleResource')","(0.4786310733131609, 'ApplicationBased')","(0.47863107331316124, 'TXT')","(0.4940914636954916, 'Manual')","(0.49409146369549195, 'Replying')","(0.4940914636954923, 'CodebookUpdate')","(0.5070153023433188, 'Dropbox')","(0.507015302343319, 'PreviousAssignments')","(0.5180020735260367, 'Hierarchy')","(0.5430073517571321, 'Multivalued')","(0.5494706226030177, 'AnnotationServer')","(0.5604677767977001, 'ScienceDirect')","(0.5604677767977001, 'TextSummary')","(0.5734317845412509, 'Autocomplete')","(0.5734317845412509, 'SentimentAnalysis')","(0.5734317845412509, 'SidebarNavigation')","(0.5803902626928148, 'Neo4J')","(0.6036534326977308, 'GoogleSheetProvider')","(0.608352915836747, 'BrowserStorage')","(0.6285112968131708, 'AnnotatedPDF')","(0.6285112968131714, 'Hypothesis')","(0.6484761874374223, 'SuggestedLiterature')","(0.6681046915288826, 'MoodleProvider')","(1, 'ACM')","(1, 'Alphabetical')","(1, 'AnnotationList')","(1, 'Categorize')","(1, 'Commenting')","(1, 'Create')","(1, 'Date')","(1, 'Delete')","(1, 'Export')","(1, 'ExportCodebook')","(1, 'HTML')","(1, 'Hosting')","(1, 'ImportAnnotations')","(1, 'JSON')","(1, 'MoodleComment')","(1, 'MoodleConsumer')","(1, 'MoodleResourceBased')","(1, 'Number')","(1, 'Springer')","(1, 'URN')","(1, 'Update')","(1, 'WebAnnotationClient')"
ScienceDirect,"(0.5604677767977001, 'ACM')","(0.5604677767977001, 'Alphabetical')","(0.5604677767977001, 'AnnotationList')","(0.5604677767977001, 'Categorize')","(0.5604677767977001, 'Commenting')","(0.5604677767977001, 'Create')","(0.5604677767977001, 'Date')","(0.5604677767977001, 'Delete')","(0.5604677767977001, 'Export')","(0.5604677767977001, 'ExportCodebook')","(0.5604677767977001, 'HTML')","(0.5604677767977001, 'Hosting')","(0.5604677767977001, 'ImportAnnotations')","(0.5604677767977001, 'JSON')","(0.5604677767977001, 'MoodleComment')","(0.5604677767977001, 'MoodleConsumer')","(0.5604677767977001, 'MoodleResourceBased')","(0.5604677767977001, 'Number')","(0.5604677767977001, 'Springer')","(0.5604677767977001, 'URN')","(0.5604677767977001, 'Update')","(0.5604677767977001, 'WebAnnotationClient')","(0.587704792052073, 'Canvas')","(0.587704792052073, 'MoodleReport')","(0.587704792052073, 'Selector')","(0.5877047920520733, 'PDF')","(0.5877047920520733, 'URL')","(0.5877047920520733, 'UserFilter')","(0.5877047920520735, 'Assessing')","(0.5877047920520735, 'BuiltIn')","(0.5877047920520735, 'Codebook')","(0.6111717592889814, 'Classifying')","(0.6111717592889816, 'RenameCodebook')","(0.617981368279853, 'CodebookDelete')","(0.617981368279853, 'DOI')","(0.6232981316583197, 'GoogleSheetConsumer')","(0.6232981316583197, 'LastAnnotation')","(0.6232981316583199, 'DeleteAll')","(0.6232981316583199, 'ImportCodebook')","(0.6232981316583207, 'Remote')","(0.6312446259684694, 'MoodleResource')","(0.6312446259684696, 'TXT')","(0.6312446259684699, 'ApplicationBased')","(0.6343422044232259, 'Manual')","(0.6343422044232259, 'Replying')","(0.634342204423226, 'CodebookUpdate')","(0.6370359041940409, 'Dropbox')","(0.6370359041940412, 'PreviousAssignments')","(0.6394094302939832, 'Hierarchy')","(0.6451436263465162, 'Multivalued')","(0.6467116214640574, 'AnnotationServer')","(0.6494728152514149, 'TextSummary')","(0.6528961594211276, 'SidebarNavigation')","(0.6528961594211278, 'SentimentAnalysis')","(0.6528961594211279, 'Autocomplete')","(0.6548179535565086, 'Neo4J')","(0.6617533815371601, 'GoogleSheetProvider')","(0.6632657358055889, 'BrowserStorage')","(0.6702917954602153, 'AnnotatedPDF')","(0.6702917954602157, 'Hypothesis')","(0.6783897234091321, 'SuggestedLiterature')","(0.6882283769993697, 'MoodleProvider')","(1, 'ScienceDirect')"
TextSummary,"(0.5604677767977001, 'ACM')","(0.5604677767977001, 'Alphabetical')","(0.5604677767977001, 'AnnotationList')","(0.5604677767977001, 'Categorize')","(0.5604677767977001, 'Commenting')","(0.5604677767977001, 'Create')","(0.5604677767977001, 'Date')","(0.5604677767977001, 'Delete')","(0.5604677767977001, 'Export')","(0.5604677767977001, 'ExportCodebook')","(0.5604677767977001, 'HTML')","(0.5604677767977001, 'Hosting')","(0.5604677767977001, 'ImportAnnotations')","(0.5604677767977001, 'JSON')","(0.5604677767977001, 'MoodleComment')","(0.5604677767977001, 'MoodleConsumer')","(0.5604677767977001, 'MoodleResourceBased')","(0.5604677767977001, 'Number')","(0.5604677767977001, 'Springer')","(0.5604677767977001, 'URN')","(0.5604677767977001, 'Update')","(0.5604677767977001, 'WebAnnotationClient')","(0.587704792052073, 'URL')","(0.5877047920520732, 'Canvas')","(0.5877047920520733, 'PDF')","(0.5877047920520733, 'Selector')","(0.5877047920520737, 'MoodleReport')","(0.5877047920520739, 'Assessing')","(0.5877047920520739, 'BuiltIn')","(0.587704792052074, 'Codebook')","(0.587704792052074, 'UserFilter')","(0.6111717592889816, 'Classifying')","(0.6111717592889822, 'RenameCodebook')","(0.617981368279853, 'CodebookDelete')","(0.617981368279853, 'DOI')","(0.6232981316583195, 'DeleteAll')","(0.6232981316583195, 'GoogleSheetConsumer')","(0.6232981316583197, 'ImportCodebook')","(0.6232981316583197, 'LastAnnotation')","(0.6232981316583205, 'Remote')","(0.6312446259684693, 'MoodleResource')","(0.6312446259684694, 'TXT')","(0.6312446259684696, 'ApplicationBased')","(0.6343422044232256, 'Replying')","(0.6343422044232258, 'CodebookUpdate')","(0.6343422044232259, 'Manual')","(0.6370359041940408, 'Dropbox')","(0.637035904194041, 'PreviousAssignments')","(0.6394094302939833, 'Hierarchy')","(0.6451436263465162, 'Multivalued')","(0.6467116214640568, 'AnnotationServer')","(0.6494728152514149, 'ScienceDirect')","(0.6528961594211273, 'SidebarNavigation')","(0.652896159421128, 'Autocomplete')","(0.652896159421128, 'SentimentAnalysis')","(0.6548179535565082, 'Neo4J')","(0.6617533815371597, 'GoogleSheetProvider')","(0.6632657358055889, 'BrowserStorage')","(0.6702917954602152, 'AnnotatedPDF')","(0.6702917954602157, 'Hypothesis')","(0.6783897234091316, 'SuggestedLiterature')","(0.6882283769993696, 'MoodleProvider')","(1, 'TextSummary')"
MoodleConsumer,"(0.20117503809219398, 'Canvas')","(0.20117503809219406, 'Selector')","(0.20117503809219411, 'PDF')","(0.20117503809219411, 'URL')","(0.20117503809219417, 'MoodleReport')","(0.2011750380921943, 'Assessing')","(0.2011750380921943, 'BuiltIn')","(0.20117503809219434, 'Codebook')","(0.20117503809219434, 'UserFilter')","(0.3633820275612405, 'Classifying')","(0.3633820275612407, 'RenameCodebook')","(0.40530168251551124, 'DOI')","(0.40530168251551135, 'CodebookDelete')","(0.4360621241506524, 'GoogleSheetConsumer')","(0.43606212415065243, 'ImportCodebook')","(0.4360621241506527, 'LastAnnotation')","(0.4360621241506528, 'DeleteAll')","(0.4360621241506535, 'Remote')","(0.47863107331315985, 'MoodleResource')","(0.4786310733131609, 'ApplicationBased')","(0.47863107331316124, 'TXT')","(0.4940914636954916, 'Manual')","(0.49409146369549195, 'Replying')","(0.4940914636954923, 'CodebookUpdate')","(0.5070153023433188, 'Dropbox')","(0.507015302343319, 'PreviousAssignments')","(0.5180020735260367, 'Hierarchy')","(0.5430073517571321, 'Multivalued')","(0.5494706226030177, 'AnnotationServer')","(0.5604677767977001, 'ScienceDirect')","(0.5604677767977001, 'TextSummary')","(0.5734317845412509, 'Autocomplete')","(0.5734317845412509, 'SentimentAnalysis')","(0.5734317845412509, 'SidebarNavigation')","(0.5803902626928148, 'Neo4J')","(0.6036534326977308, 'GoogleSheetProvider')","(0.608352915836747, 'BrowserStorage')","(0.6285112968131708, 'AnnotatedPDF')","(0.6285112968131714, 'Hypothesis')","(0.6484761874374223, 'SuggestedLiterature')","(0.6681046915288826, 'MoodleProvider')","(1, 'ACM')","(1, 'Alphabetical')","(1, 'AnnotationList')","(1, 'Categorize')","(1, 'Commenting')","(1, 'Create')","(1, 'Date')","(1, 'Delete')","(1, 'Export')","(1, 'ExportCodebook')","(1, 'HTML')","(1, 'Hosting')","(1, 'ImportAnnotations')","(1, 'JSON')","(1, 'MoodleComment')","(1, 'MoodleConsumer')","(1, 'MoodleResourceBased')","(1, 'Number')","(1, 'Springer')","(1, 'URN')","(1, 'Update')","(1, 'WebAnnotationClient')"
LastAnnotation,"(0.4360621241506527, 'ACM')","(0.4360621241506527, 'Alphabetical')","(0.4360621241506527, 'AnnotationList')","(0.4360621241506527, 'Categorize')","(0.4360621241506527, 'Commenting')","(0.4360621241506527, 'Create')","(0.4360621241506527, 'Date')","(0.4360621241506527, 'Delete')","(0.4360621241506527, 'Export')","(0.4360621241506527, 'ExportCodebook')","(0.4360621241506527, 'HTML')","(0.4360621241506527, 'Hosting')","(0.4360621241506527, 'ImportAnnotations')","(0.4360621241506527, 'JSON')","(0.4360621241506527, 'MoodleComment')","(0.4360621241506527, 'MoodleConsumer')","(0.4360621241506527, 'MoodleResourceBased')","(0.4360621241506527, 'Number')","(0.4360621241506527, 'Springer')","(0.4360621241506527, 'URN')","(0.4360621241506527, 'Update')","(0.4360621241506527, 'WebAnnotationClient')","(0.49337286677193315, 'Canvas')","(0.49337286677193315, 'PDF')","(0.49337286677193315, 'Selector')","(0.49337286677193337, 'URL')","(0.49337286677193354, 'MoodleReport')","(0.4933728667719336, 'Assessing')","(0.4933728667719336, 'BuiltIn')","(0.4933728667719336, 'UserFilter')","(0.49337286677193365, 'Codebook')","(0.5446152940059281, 'Classifying')","(0.5446152940059281, 'RenameCodebook')","(0.5593411379857676, 'CodebookDelete')","(0.5593411379857676, 'DOI')","(0.5706940096062938, 'GoogleSheetConsumer')","(0.5706940096062938, 'ImportCodebook')","(0.5706940096062939, 'DeleteAll')","(0.5706940096062944, 'Remote')","(0.5873272702079857, 'MoodleResource')","(0.5873272702079867, 'ApplicationBased')","(0.5873272702079867, 'TXT')","(0.593676538087617, 'Manual')","(0.593676538087617, 'Replying')","(0.5936765380876171, 'CodebookUpdate')","(0.5991271003013381, 'Dropbox')","(0.5991271003013385, 'PreviousAssignments')","(0.6038710055957086, 'Hierarchy')","(0.6150843302426489, 'Multivalued')","(0.6180854491699665, 'AnnotationServer')","(0.6232981316583197, 'ScienceDirect')","(0.6232981316583197, 'TextSummary')","(0.6296277432867982, 'Autocomplete')","(0.6296277432867982, 'SentimentAnalysis')","(0.6296277432867983, 'SidebarNavigation')","(0.6331140215404556, 'Neo4J')","(0.6452750303033659, 'GoogleSheetProvider')","(0.6478364392333542, 'BrowserStorage')","(0.6592931941531541, 'AnnotatedPDF')","(0.6592931941531545, 'Hypothesis')","(0.6715555619896512, 'SuggestedLiterature')","(0.6849553933455532, 'MoodleProvider')","(1, 'LastAnnotation')"
Manual,"(0.4940914636954916, 'ACM')","(0.4940914636954916, 'Alphabetical')","(0.4940914636954916, 'AnnotationList')","(0.4940914636954916, 'Categorize')","(0.4940914636954916, 'Commenting')","(0.4940914636954916, 'Create')","(0.4940914636954916, 'Date')","(0.4940914636954916, 'Delete')","(0.4940914636954916, 'Export')","(0.4940914636954916, 'ExportCodebook')","(0.4940914636954916, 'HTML')","(0.4940914636954916, 'Hosting')","(0.4940914636954916, 'ImportAnnotations')","(0.4940914636954916, 'JSON')","(0.4940914636954916, 'MoodleComment')","(0.4940914636954916, 'MoodleConsumer')","(0.4940914636954916, 'MoodleResourceBased')","(0.4940914636954916, 'Number')","(0.4940914636954916, 'Springer')","(0.4940914636954916, 'URN')","(0.4940914636954916, 'Update')","(0.4940914636954916, 'WebAnnotationClient')","(0.5364358252206953, 'Canvas')","(0.5364358252206954, 'PDF')","(0.5364358252206954, 'URL')","(0.5364358252206956, 'Selector')","(0.5364358252206959, 'MoodleReport')","(0.536435825220696, 'Codebook')","(0.5364358252206961, 'Assessing')","(0.5364358252206961, 'BuiltIn')","(0.5364358252206961, 'UserFilter')","(0.5741848687883349, 'Classifying')","(0.5741848687883351, 'RenameCodebook')","(0.5851539463061819, 'CodebookDelete')","(0.5851539463061821, 'DOI')","(0.593676538087617, 'DeleteAll')","(0.593676538087617, 'GoogleSheetConsumer')","(0.593676538087617, 'LastAnnotation')","(0.5936765380876172, 'ImportCodebook')","(0.593676538087618, 'Remote')","(0.6062966790967678, 'TXT')","(0.6062966790967679, 'MoodleResource')","(0.6062966790967681, 'ApplicationBased')","(0.6111641370420303, 'Replying')","(0.6111641370420305, 'CodebookUpdate')","(0.6153679343215424, 'Dropbox')","(0.6153679343215426, 'PreviousAssignments')","(0.6190472467902499, 'Hierarchy')","(0.6278277424003605, 'Multivalued')","(0.6301993636998588, 'AnnotationServer')","(0.6343422044232259, 'ScienceDirect')","(0.6343422044232259, 'TextSummary')","(0.6394154098287435, 'Autocomplete')","(0.6394154098287435, 'SentimentAnalysis')","(0.6394154098287437, 'SidebarNavigation')","(0.6422309347343507, 'Neo4J')","(0.6521817009408564, 'GoogleSheetProvider')","(0.6543052779597098, 'BrowserStorage')","(0.6639360791374596, 'AnnotatedPDF')","(0.6639360791374597, 'Hypothesis')","(0.6745186753578591, 'SuggestedLiterature')","(0.6865123677622915, 'MoodleProvider')","(1, 'Manual')"
Assessing,"(0.2011750380921943, 'ACM')","(0.2011750380921943, 'Alphabetical')","(0.2011750380921943, 'AnnotationList')","(0.2011750380921943, 'Categorize')","(0.2011750380921943, 'Commenting')","(0.2011750380921943, 'Create')","(0.2011750380921943, 'Date')","(0.2011750380921943, 'Delete')","(0.2011750380921943, 'Export')","(0.2011750380921943, 'ExportCodebook')","(0.2011750380921943, 'HTML')","(0.2011750380921943, 'Hosting')","(0.2011750380921943, 'ImportAnnotations')","(0.2011750380921943, 'JSON')","(0.2011750380921943, 'MoodleComment')","(0.2011750380921943, 'MoodleConsumer')","(0.2011750380921943, 'MoodleResourceBased')","(0.2011750380921943, 'Number')","(0.2011750380921943, 'Springer')","(0.2011750380921943, 'URN')","(0.2011750380921943, 'Update')","(0.2011750380921943, 'WebAnnotationClient')","(0.33112595878510387, 'Selector')","(0.33112595878510415, 'Canvas')","(0.3311259587851042, 'MoodleReport')","(0.3311259587851043, 'Codebook')","(0.3311259587851043, 'PDF')","(0.3311259587851043, 'URL')","(0.3311259587851043, 'UserFilter')","(0.3311259587851044, 'BuiltIn')","(0.4413426472999354, 'RenameCodebook')","(0.44134264729993566, 'Classifying')","(0.4711141847131062, 'CodebookDelete')","(0.47111418471310623, 'DOI')","(0.49337286677193337, 'GoogleSheetConsumer')","(0.4933728667719334, 'ImportCodebook')","(0.4933728667719336, 'DeleteAll')","(0.4933728667719336, 'LastAnnotation')","(0.4933728667719339, 'Remote')","(0.5248160934043771, 'MoodleResource')","(0.524816093404378, 'TXT')","(0.5248160934043782, 'ApplicationBased')","(0.536435825220696, 'Replying')","(0.5364358252206961, 'Manual')","(0.5364358252206962, 'CodebookUpdate')","(0.5462369184525936, 'Dropbox')","(0.5462369184525938, 'PreviousAssignments')","(0.5546345429148316, 'Hierarchy')","(0.5739844694139173, 'Multivalued')","(0.5790424320511609, 'AnnotationServer')","(0.5877047920520735, 'ScienceDirect')","(0.5877047920520739, 'TextSummary')","(0.598011567282692, 'SidebarNavigation')","(0.5980115672826922, 'Autocomplete')","(0.5980115672826922, 'SentimentAnalysis')","(0.6035882807888268, 'Neo4J')","(0.6224754904311472, 'GoogleSheetProvider')","(0.6263397539361617, 'BrowserStorage')","(0.6431245582179739, 'AnnotatedPDF')","(0.6431245582179739, 'Hypothesis')","(0.6601382751516383, 'SuggestedLiterature')","(0.6774049922538281, 'MoodleProvider')","(1, 'Assessing')"
HTML,"(0.20117503809219398, 'Canvas')","(0.20117503809219406, 'Selector')","(0.20117503809219411, 'PDF')","(0.20117503809219411, 'URL')","(0.20117503809219417, 'MoodleReport')","(0.2011750380921943, 'Assessing')","(0.2011750380921943, 'BuiltIn')","(0.20117503809219434, 'Codebook')","(0.20117503809219434, 'UserFilter')","(0.3633820275612405, 'Classifying')","(0.3633820275612407, 'RenameCodebook')","(0.40530168251551124, 'DOI')","(0.40530168251551135, 'CodebookDelete')","(0.4360621241506524, 'GoogleSheetConsumer')","(0.43606212415065243, 'ImportCodebook')","(0.4360621241506527, 'LastAnnotation')","(0.4360621241506528, 'DeleteAll')","(0.4360621241506535, 'Remote')","(0.47863107331315985, 'MoodleResource')","(0.4786310733131609, 'ApplicationBased')","(0.47863107331316124, 'TXT')","(0.4940914636954916, 'Manual')","(0.49409146369549195, 'Replying')","(0.4940914636954923, 'CodebookUpdate')","(0.5070153023433188, 'Dropbox')","(0.507015302343319, 'PreviousAssignments')","(0.5180020735260367, 'Hierarchy')","(0.5430073517571321, 'Multivalued')","(0.5494706226030177, 'AnnotationServer')","(0.5604677767977001, 'ScienceDirect')","(0.5604677767977001, 'TextSummary')","(0.5734317845412509, 'Autocomplete')","(0.5734317845412509, 'SentimentAnalysis')","(0.5734317845412509, 'SidebarNavigation')","(0.5803902626928148, 'Neo4J')","(0.6036534326977308, 'GoogleSheetProvider')","(0.608352915836747, 'BrowserStorage')","(0.6285112968131708, 'AnnotatedPDF')","(0.6285112968131714, 'Hypothesis')","(0.6484761874374223, 'SuggestedLiterature')","(0.6681046915288826, 'MoodleProvider')","(1, 'ACM')","(1, 'Alphabetical')","(1, 'AnnotationList')","(1, 'Categorize')","(1, 'Commenting')","(1, 'Create')","(1, 'Date')","(1, 'Delete')","(1, 'Export')","(1, 'ExportCodebook')","(1, 'HTML')","(1, 'Hosting')","(1, 'ImportAnnotations')","(1, 'JSON')","(1, 'MoodleComment')","(1, 'MoodleConsumer')","(1, 'MoodleResourceBased')","(1, 'Number')","(1, 'Springer')","(1, 'URN')","(1, 'Update')","(1, 'WebAnnotationClient')"
Update,"(0.20117503809219398, 'Canvas')","(0.20117503809219406, 'Selector')","(0.20117503809219411, 'PDF')","(0.20117503809219411, 'URL')","(0.20117503809219417, 'MoodleReport')","(0.2011750380921943, 'Assessing')","(0.2011750380921943, 'BuiltIn')","(0.20117503809219434, 'Codebook')","(0.20117503809219434, 'UserFilter')","(0.3633820275612405, 'Classifying')","(0.3633820275612407, 'RenameCodebook')","(0.40530168251551124, 'DOI')","(0.40530168251551135, 'CodebookDelete')","(0.4360621241506524, 'GoogleSheetConsumer')","(0.43606212415065243, 'ImportCodebook')","(0.4360621241506527, 'LastAnnotation')","(0.4360621241506528, 'DeleteAll')","(0.4360621241506535, 'Remote')","(0.47863107331315985, 'MoodleResource')","(0.4786310733131609, 'ApplicationBased')","(0.47863107331316124, 'TXT')","(0.4940914636954916, 'Manual')","(0.49409146369549195, 'Replying')","(0.4940914636954923, 'CodebookUpdate')","(0.5070153023433188, 'Dropbox')","(0.507015302343319, 'PreviousAssignments')","(0.5180020735260367, 'Hierarchy')","(0.5430073517571321, 'Multivalued')","(0.5494706226030177, 'AnnotationServer')","(0.5604677767977001, 'ScienceDirect')","(0.5604677767977001, 'TextSummary')","(0.5734317845412509, 'Autocomplete')","(0.5734317845412509, 'SentimentAnalysis')","(0.5734317845412509, 'SidebarNavigation')","(0.5803902626928148, 'Neo4J')","(0.6036534326977308, 'GoogleSheetProvider')","(0.608352915836747, 'BrowserStorage')","(0.6285112968131708, 'AnnotatedPDF')","(0.6285112968131714, 'Hypothesis')","(0.6484761874374223, 'SuggestedLiterature')","(0.6681046915288826, 'MoodleProvider')","(1, 'ACM')","(1, 'Alphabetical')","(1, 'AnnotationList')","(1, 'Categorize')","(1, 'Commenting')","(1, 'Create')","(1, 'Date')","(1, 'Delete')","(1, 'Export')","(1, 'ExportCodebook')","(1, 'HTML')","(1, 'Hosting')","(1, 'ImportAnnotations')","(1, 'JSON')","(1, 'MoodleComment')","(1, 'MoodleConsumer')","(1, 'MoodleResourceBased')","(1, 'Number')","(1, 'Springer')","(1, 'URN')","(1, 'Update')","(1, 'WebAnnotationClient')"
Hypothesis,"(0.6285112968131714, 'ACM')","(0.6285112968131714, 'Alphabetical')","(0.6285112968131714, 'AnnotationList')","(0.6285112968131714, 'Categorize')","(0.6285112968131714, 'Commenting')","(0.6285112968131714, 'Create')","(0.6285112968131714, 'Date')","(0.6285112968131714, 'Delete')","(0.6285112968131714, 'Export')","(0.6285112968131714, 'ExportCodebook')","(0.6285112968131714, 'HTML')","(0.6285112968131714, 'Hosting')","(0.6285112968131714, 'ImportAnnotations')","(0.6285112968131714, 'JSON')","(0.6285112968131714, 'MoodleComment')","(0.6285112968131714, 'MoodleConsumer')","(0.6285112968131714, 'MoodleResourceBased')","(0.6285112968131714, 'Number')","(0.6285112968131714, 'Springer')","(0.6285112968131714, 'URN')","(0.6285112968131714, 'Update')","(0.6285112968131714, 'WebAnnotationClient')","(0.6431245582179734, 'Canvas')","(0.6431245582179735, 'PDF')","(0.6431245582179735, 'Selector')","(0.6431245582179737, 'URL')","(0.6431245582179739, 'Assessing')","(0.6431245582179739, 'BuiltIn')","(0.6431245582179739, 'Codebook')","(0.6431245582179739, 'MoodleReport')","(0.643124558217974, 'UserFilter')","(0.654051133718446, 'Classifying')","(0.6540511337184461, 'RenameCodebook')","(0.6570197623010569, 'CodebookDelete')","(0.657019762301057, 'DOI')","(0.6592931941531545, 'LastAnnotation')","(0.6592931941531546, 'DeleteAll')","(0.6592931941531547, 'GoogleSheetConsumer')","(0.6592931941531548, 'ImportCodebook')","(0.6592931941531548, 'Remote')","(0.6626407774855405, 'TXT')","(0.6626407774855406, 'MoodleResource')","(0.6626407774855411, 'ApplicationBased')","(0.6639360791374597, 'Manual')","(0.6639360791374597, 'Replying')","(0.6639360791374599, 'CodebookUpdate')","(0.6650610008445911, 'Dropbox')","(0.6650610008445913, 'PreviousAssignments')","(0.6660525272703327, 'Hierarchy')","(0.6684573948515098, 'Multivalued')","(0.6691193087193282, 'AnnotationServer')","(0.6702917954602157, 'ScienceDirect')","(0.6702917954602157, 'TextSummary')","(0.6717612512518434, 'SentimentAnalysis')","(0.6717612512518436, 'SidebarNavigation')","(0.6717612512518439, 'Autocomplete')","(0.6725958422907692, 'Neo4J')","(0.6756865786782802, 'GoogleSheetProvider')","(0.6763812106659701, 'BrowserStorage')","(0.679741950440512, 'AnnotatedPDF')","(0.6839990647717088, 'SuggestedLiterature')","(0.6901244146157735, 'MoodleProvider')","(1, 'Hypothesis')"
