QueryProject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Delete,"(0.002577615864706281, 'Create')","(0.008941258741005695, 'Update')","(0.047832412432717505, 'UserFilter')","(0.19186556621604098, 'DeleteAll')","(0.3639099905664892, 'ImportAnnotations')","(0.40690947558774515, 'Autocomplete')","(0.4077650902511306, 'SidebarNavigation')","(0.46836673025670456, 'JSON')","(0.48280783271569844, 'Replying')","(0.4833900527339644, 'Hierarchy')","(0.4933889301922527, 'Remote')","(0.4943735159810132, 'Classifying')","(0.5184781962898926, 'Multivalued')","(0.5258530985566732, 'CodebookUpdate')","(0.5389931244023546, 'Number')","(0.5450438699140758, 'Export')","(0.5539629364502816, 'Selector')","(0.5635699957956121, 'Codebook')","(0.5710077147802841, 'Date')","(0.571395769312631, 'MoodleReport')","(0.6114416780689708, 'ImportCodebook')","(0.6207308917116576, 'BuiltIn')","(0.6256093221761343, 'ExportCodebook')","(0.6270738366269435, 'Commenting')","(0.6278138470100163, 'MoodleResourceBased')","(0.6487801022348476, 'SentimentAnalysis')","(0.6539896007501738, 'BrowserStorage')","(0.6592073653807973, 'Canvas')","(0.6713266664031254, 'AnnotatedPDF')","(0.6719879048833917, 'URL')","(0.6742495978793586, 'Hypothesis')","(0.6758677822773287, 'WebAnnotationClient')","(0.6780308245460135, 'Alphabetical')","(0.679072235304216, 'HTML')","(0.680911227505474, 'GoogleSheetProvider')","(0.6817181499052378, 'PDF')","(0.6831866691958968, 'TXT')","(0.6832764232777104, 'LastAnnotation')","(0.6838125750373303, 'MoodleComment')","(0.6840436554478938, 'Assessing')","(0.684576092784154, 'AnnotationList')","(0.6851715900241889, 'TextSummary')","(0.6859926313875802, 'Categorize')","(0.6862268964293916, 'URN')","(0.6877088290922275, 'MoodleConsumer')","(0.6877786423736083, 'Dropbox')","(0.6888074068551057, 'ACM')","(0.6888074068551058, 'DOI')","(0.6889477087355561, 'ScienceDirect')","(0.6889846012953498, 'Neo4J')","(0.689234854785469, 'Springer')","(0.6895164856650808, 'SuggestedLiterature')","(0.6897322350390508, 'MoodleResource')","(0.6902217403937412, 'PreviousAssignments')","(0.6905056966523593, 'Hosting')","(0.6908049428513816, 'ApplicationBased')","(0.6908388092007045, 'RenameCodebook')","(0.6909167710985397, 'CodebookDelete')","(0.6914440187041794, 'AnnotationServer')","(0.6914489313457843, 'Manual')","(0.6915597862592215, 'GoogleSheetConsumer')","(0.6924951855180299, 'MoodleProvider')","(1, 'Delete')"
ScienceDirect,"(0.028243934251047303, 'DOI')","(0.028314802425042015, 'Dropbox')","(0.06133365134795229, 'URL')","(0.2110823199143903, 'WebAnnotationClient')","(0.49127904661441835, 'Hypothesis')","(0.5157526513255801, 'TXT')","(0.5501304475667999, 'AnnotationServer')","(0.5602376220932648, 'Remote')","(0.6008432847090881, 'ApplicationBased')","(0.6163502361761077, 'BuiltIn')","(0.6282009125228846, 'Neo4J')","(0.6282213888429302, 'Codebook')","(0.6336485034864789, 'Manual')","(0.6365377842108613, 'GoogleSheetProvider')","(0.6382518414901208, 'BrowserStorage')","(0.6508110226059199, 'Hosting')","(0.6712200769892711, 'Replying')","(0.6788167941936641, 'MoodleResourceBased')","(0.6811491465146993, 'PreviousAssignments')","(0.6826722213598089, 'Number')","(0.6826751280661718, 'Date')","(0.6830209888151866, 'Alphabetical')","(0.6837026703324847, 'HTML')","(0.6847428290374802, 'Export')","(0.6854358259744445, 'PDF')","(0.6864134597517788, 'LastAnnotation')","(0.6867523265039536, 'MoodleComment')","(0.6868860090253731, 'Assessing')","(0.6870581975203478, 'Canvas')","(0.6872370455787897, 'AnnotationList')","(0.6876235659122754, 'TextSummary')","(0.6877340120292257, 'SentimentAnalysis')","(0.6881204892201971, 'Categorize')","(0.6883082226317678, 'URN')","(0.688691830144734, 'JSON')","(0.6887656264586066, 'Update')","(0.6888574809070663, 'Create')","(0.6888576048834323, 'Commenting')","(0.6889477087355561, 'Delete')","(0.6892398335142027, 'MoodleConsumer')","(0.6892810459453075, 'Autocomplete')","(0.6896684365065605, 'DeleteAll')","(0.6899473771573721, 'ACM')","(0.6899531924677126, 'ImportAnnotations')","(0.6900713912003449, 'Selector')","(0.6901024433285596, 'MoodleReport')","(0.6902355861365235, 'Springer')","(0.6903571743341483, 'AnnotatedPDF')","(0.6903926033029828, 'Classifying')","(0.6904278999467265, 'SuggestedLiterature')","(0.6905224282022666, 'UserFilter')","(0.6906655728126796, 'MoodleResource')","(0.6907716831494326, 'SidebarNavigation')","(0.6910222429668121, 'ImportCodebook')","(0.6913272242837131, 'Multivalued')","(0.6913532923708134, 'ExportCodebook')","(0.6913640415482949, 'RenameCodebook')","(0.6914213204155177, 'CodebookDelete')","(0.6919050636834359, 'GoogleSheetConsumer')","(0.6919319160982924, 'Hierarchy')","(0.6921786643238338, 'CodebookUpdate')","(0.6926551513769579, 'MoodleProvider')","(1, 'ScienceDirect')"
TextSummary,"(0.22928115517941297, 'Canvas')","(0.23868197298243515, 'AnnotatedPDF')","(0.2646944879616689, 'LastAnnotation')","(0.3003186171019331, 'AnnotationList')","(0.4147995061754221, 'JSON')","(0.4325472032616059, 'PDF')","(0.4846374614051916, 'DeleteAll')","(0.526315833534619, 'ImportAnnotations')","(0.5680975026703207, 'MoodleReport')","(0.5926914298258261, 'URN')","(0.6025515015120347, 'TXT')","(0.6425000817856725, 'Export')","(0.6492248024070705, 'MoodleResource')","(0.6512606097291664, 'RenameCodebook')","(0.6513584330214118, 'CodebookDelete')","(0.6517944159253776, 'ExportCodebook')","(0.6522500977503412, 'ImportCodebook')","(0.6527274867804543, 'Manual')","(0.6530750248359315, 'BuiltIn')","(0.6534442716712823, 'ApplicationBased')","(0.6552613023714118, 'Codebook')","(0.6633164437689519, 'MoodleResourceBased')","(0.6637771920196367, 'URL')","(0.6679224452511654, 'CodebookUpdate')","(0.6688160178720706, 'WebAnnotationClient')","(0.6710833059691337, 'BrowserStorage')","(0.6710923684764193, 'Number')","(0.6711024256957194, 'Date')","(0.6719352035092458, 'Alphabetical')","(0.6734005642222456, 'HTML')","(0.6737505868940171, 'PreviousAssignments')","(0.6761997266345632, 'Selector')","(0.6780254337683216, 'GoogleSheetProvider')","(0.6802144403114334, 'MoodleComment')","(0.6806110876868452, 'Assessing')","(0.6818143880638312, 'Remote')","(0.6823262071448619, 'SentimentAnalysis')","(0.6834757132750173, 'Categorize')","(0.6848462424728421, 'Update')","(0.684960756169031, 'Create')","(0.6851488960183507, 'Commenting')","(0.6851715900241889, 'Delete')","(0.6856847592474875, 'Autocomplete')","(0.6858870782232678, 'MoodleConsumer')","(0.6860564671266884, 'Dropbox')","(0.6875022439305885, 'ACM')","(0.6875022439305885, 'DOI')","(0.6876235659122754, 'ScienceDirect')","(0.6876715280307646, 'Neo4J')","(0.6880908430473092, 'Springer')","(0.6882618329007711, 'Classifying')","(0.6883449038219567, 'Replying')","(0.6884741895038546, 'SuggestedLiterature')","(0.6886597080758147, 'UserFilter')","(0.68901547719902, 'SidebarNavigation')","(0.6897093717349003, 'Hosting')","(0.6901550407975714, 'Multivalued')","(0.6901676709717912, 'Hypothesis')","(0.690755622919883, 'Hierarchy')","(0.6909841069806093, 'AnnotationServer')","(0.6911275395999061, 'GoogleSheetConsumer')","(0.6922479215798558, 'MoodleProvider')","(1, 'TextSummary')"
MoodleConsumer,"(0.05388946119975811, 'MoodleProvider')","(0.2375045364079576, 'MoodleResource')","(0.26886352437667527, 'MoodleReport')","(0.33784978237793784, 'MoodleResourceBased')","(0.4827750116612065, 'Neo4J')","(0.5159075155218581, 'MoodleComment')","(0.594983856051198, 'TXT')","(0.6138829721138043, 'Hypothesis')","(0.6263656213724946, 'Autocomplete')","(0.633167665233622, 'Remote')","(0.6477603304286719, 'SentimentAnalysis')","(0.6490792228636506, 'ApplicationBased')","(0.6748034752999146, 'URL')","(0.6780054411713876, 'WebAnnotationClient')","(0.6793524051146518, 'Number')","(0.6793571531527396, 'Date')","(0.6798235973729749, 'Alphabetical')","(0.68069565197032, 'HTML')","(0.6820205204005905, 'Export')","(0.6829161109465028, 'PDF')","(0.6842521409588611, 'LastAnnotation')","(0.6849166742347517, 'Assessing')","(0.6851252212950248, 'Canvas')","(0.6853723019290898, 'AnnotationList')","(0.6858870782232678, 'TextSummary')","(0.6866097006690974, 'Categorize')","(0.6868094948869251, 'URN')","(0.6873501624362133, 'JSON')","(0.6874765478633651, 'Update')","(0.687582678655944, 'Create')","(0.6876245709341805, 'Commenting')","(0.6877088290922275, 'Delete')","(0.6881879699199669, 'Dropbox')","(0.6886823336096173, 'DeleteAll')","(0.6890185633584613, 'ImportAnnotations')","(0.6891111059928483, 'ACM')","(0.6891111059928484, 'DOI')","(0.6892325883755271, 'Selector')","(0.6892398335142027, 'ScienceDirect')","(0.6894981022699147, 'Springer')","(0.6896440889552424, 'AnnotatedPDF')","(0.6896766932887042, 'Classifying')","(0.6897542670117119, 'SuggestedLiterature')","(0.6898162815203194, 'Replying')","(0.689879503059248, 'UserFilter')","(0.690079947202979, 'Codebook')","(0.690124546317627, 'BrowserStorage')","(0.6901801582666223, 'SidebarNavigation')","(0.6904070037041276, 'PreviousAssignments')","(0.6904449567155235, 'ImportCodebook')","(0.6906669263148885, 'Hosting')","(0.6908345494465717, 'BuiltIn')","(0.690898078480524, 'ExportCodebook')","(0.6909241131835937, 'Multivalued')","(0.6909708459921824, 'RenameCodebook')","(0.6910433460224855, 'CodebookDelete')","(0.6915361709161619, 'AnnotationServer')","(0.6915559764245417, 'Manual')","(0.6915784191022593, 'Hierarchy')","(0.6916449969862768, 'GoogleSheetConsumer')","(0.6916776776230298, 'GoogleSheetProvider')","(0.6919335646988514, 'CodebookUpdate')","(1, 'MoodleConsumer')"
LastAnnotation,"(0.015788141266664255, 'AnnotationList')","(0.06237085769744442, 'Canvas')","(0.06372671800449506, 'AnnotatedPDF')","(0.2646944879616689, 'TextSummary')","(0.3830400250771777, 'JSON')","(0.3895931670692892, 'PDF')","(0.440382789000715, 'MoodleReport')","(0.4587347699795046, 'MoodleComment')","(0.46322368610809306, 'PreviousAssignments')","(0.4700671874768011, 'DeleteAll')","(0.49186012590475203, 'MoodleResource')","(0.5323131794693984, 'ImportAnnotations')","(0.5555475237033121, 'WebAnnotationClient')","(0.5767353887788015, 'Autocomplete')","(0.6052105623511681, 'Remote')","(0.6556366463092544, 'MoodleResourceBased')","(0.656393345681605, 'URL')","(0.6651887456265357, 'Number')","(0.6652053596073939, 'Date')","(0.6663538171151766, 'Alphabetical')","(0.6682145931222008, 'HTML')","(0.6709352290290223, 'Export')","(0.6750180903814941, 'TXT')","(0.6775669379917781, 'Assessing')","(0.6795368592821036, 'SentimentAnalysis')","(0.6812478207429917, 'URN')","(0.6812853605154706, 'Categorize')","(0.6829432339636254, 'Update')","(0.6829976367709426, 'Create')","(0.6832764232777104, 'Delete')","(0.6834264557098773, 'Commenting')","(0.6842521409588611, 'MoodleConsumer')","(0.6845731754237747, 'Dropbox')","(0.686229986551107, 'Selector')","(0.6863730190570005, 'ACM')","(0.6863730190570005, 'DOI')","(0.6864134597517788, 'ScienceDirect')","(0.6864679339078842, 'Neo4J')","(0.6870948490380597, 'Springer')","(0.6871037481003721, 'Replying')","(0.687166879430386, 'Classifying')","(0.6872961706138427, 'Codebook')","(0.6875611935564492, 'SuggestedLiterature')","(0.6876193118554594, 'BrowserStorage')","(0.6877857569535464, 'UserFilter')","(0.6880985391968562, 'ImportCodebook')","(0.6881003252303246, 'SidebarNavigation')","(0.6885772914140702, 'BuiltIn')","(0.6889286576937868, 'Hosting')","(0.6889553763088279, 'ApplicationBased')","(0.6890897085752872, 'ExportCodebook')","(0.6892822813241357, 'Hypothesis')","(0.6895666409844581, 'Multivalued')","(0.689642307521056, 'RenameCodebook')","(0.6897589898904752, 'CodebookDelete')","(0.6899235836885216, 'Hierarchy')","(0.6900758575137786, 'Manual')","(0.6900924313483343, 'GoogleSheetProvider')","(0.690528923148132, 'AnnotationServer')","(0.6906933290987151, 'GoogleSheetConsumer')","(0.6908300620111909, 'CodebookUpdate')","(0.6919520542997872, 'MoodleProvider')","(1, 'LastAnnotation')"
Manual,"(0.0409336169541617, 'CodebookDelete')","(0.04094064371713918, 'RenameCodebook')","(0.044099049345008426, 'ApplicationBased')","(0.05641049840421209, 'BuiltIn')","(0.0750293758282422, 'ExportCodebook')","(0.1224359466828657, 'ImportCodebook')","(0.1870924614925026, 'Codebook')","(0.2030532631585176, 'JSON')","(0.23661841092233993, 'ImportAnnotations')","(0.24330667868249906, 'Export')","(0.4046242952937559, 'DeleteAll')","(0.5075967316258698, 'CodebookUpdate')","(0.5349665469822719, 'BrowserStorage')","(0.53662805690855, 'PDF')","(0.5380693826599738, 'AnnotationServer')","(0.54112284339793, 'Hypothesis')","(0.5524393115960695, 'Remote')","(0.5686052720130441, 'WebAnnotationClient')","(0.5777280352985741, 'GoogleSheetProvider')","(0.5937183539697783, 'Hosting')","(0.6031517306162122, 'PreviousAssignments')","(0.6260079841499282, 'Neo4J')","(0.629930477650991, 'MoodleResource')","(0.6336485034864789, 'ScienceDirect')","(0.6353177785247657, 'ACM')","(0.6354056654889777, 'Springer')","(0.6463145650025279, 'Selector')","(0.6494867536977285, 'URN')","(0.6527274867804543, 'TextSummary')","(0.6547899501199921, 'TXT')","(0.6671082025554115, 'Canvas')","(0.671983207147298, 'Replying')","(0.6837356931636166, 'MoodleResourceBased')","(0.6837569303948237, 'URL')","(0.6872699500772417, 'Number')","(0.6872704095142429, 'Date')","(0.6875109268847754, 'Alphabetical')","(0.68807341927218, 'HTML')","(0.6900758575137786, 'LastAnnotation')","(0.6902824310559834, 'MoodleComment')","(0.6903261329886304, 'Assessing')","(0.6905695933281868, 'AnnotationList')","(0.6908979569403889, 'SentimentAnalysis')","(0.691006094592041, 'Categorize')","(0.6913451772156726, 'Update')","(0.6913600556908661, 'Commenting')","(0.6914114889250095, 'Create')","(0.6914489313457843, 'Delete')","(0.6915420710502964, 'Dropbox')","(0.6915559764245417, 'MoodleConsumer')","(0.6916419563527141, 'Autocomplete')","(0.6918228060924012, 'DOI')","(0.6919529771821121, 'MoodleReport')","(0.6919966851753079, 'AnnotatedPDF')","(0.6920095795420308, 'SuggestedLiterature')","(0.6920205756438987, 'Classifying')","(0.6920454915217774, 'UserFilter')","(0.6921594033153957, 'SidebarNavigation')","(0.6923468408746744, 'Multivalued')","(0.6925699743277679, 'GoogleSheetConsumer')","(0.6926495809608747, 'Hierarchy')","(0.6929082520861977, 'MoodleProvider')","(1, 'Manual')"
Assessing,"(0.00047451028753549697, 'Categorize')","(0.0031127468292205954, 'SuggestedLiterature')","(0.46192453647000115, 'SentimentAnalysis')","(0.6609284166497058, 'MoodleResourceBased')","(0.6615864741287094, 'URL')","(0.6661768971206616, 'WebAnnotationClient')","(0.668569984387253, 'Number')","(0.6685844047350137, 'Date')","(0.6695457697847126, 'Alphabetical')","(0.6710756986640809, 'HTML')","(0.6733226005313488, 'Export')","(0.6748765128472947, 'PDF')","(0.6767609198970703, 'TXT')","(0.6775669379917781, 'LastAnnotation')","(0.6784633991279487, 'MoodleComment')","(0.6792335022973501, 'Canvas')","(0.6797182992080506, 'AnnotationList')","(0.6800646381281268, 'Remote')","(0.6806110876868452, 'TextSummary')","(0.6822330799790446, 'URN')","(0.683327320448436, 'JSON')","(0.6837360366173182, 'Update')","(0.6837942260241601, 'Create')","(0.6840436554478938, 'Delete')","(0.6841598993312729, 'Commenting')","(0.6844640485165812, 'Autocomplete')","(0.6849166742347517, 'MoodleConsumer')","(0.685193213874995, 'Dropbox')","(0.6857227107759758, 'DeleteAll')","(0.6859870503600991, 'ImportAnnotations')","(0.6864994540340892, 'MoodleReport')","(0.6867328023549961, 'Selector')","(0.6868307680325096, 'ACM')","(0.6868307680325099, 'DOI')","(0.6868860090253731, 'ScienceDirect')","(0.6869368824698865, 'Neo4J')","(0.6874931907136659, 'Springer')","(0.6875565824821323, 'Replying')","(0.6875848915010129, 'Classifying')","(0.6876128930527723, 'MoodleResource')","(0.6876354387937719, 'AnnotatedPDF')","(0.6877640665839022, 'Codebook')","(0.688037685925858, 'BrowserStorage')","(0.6881304498406797, 'UserFilter')","(0.688444276675803, 'SidebarNavigation')","(0.6884921674050407, 'ImportCodebook')","(0.6887058892068448, 'PreviousAssignments')","(0.6889575797273784, 'BuiltIn')","(0.6892158567734958, 'Hosting')","(0.6892920226553118, 'ApplicationBased')","(0.6893914649385935, 'ExportCodebook')","(0.6895881547198394, 'Hypothesis')","(0.6897886049104992, 'Multivalued')","(0.6898595896242075, 'RenameCodebook')","(0.6899691434126163, 'CodebookDelete')","(0.690204187969236, 'Hierarchy')","(0.6903261329886304, 'Manual')","(0.6903612932321195, 'GoogleSheetProvider')","(0.690694936729277, 'AnnotationServer')","(0.6908506080840542, 'GoogleSheetConsumer')","(0.6910177362808793, 'CodebookUpdate')","(0.6920522175303001, 'MoodleProvider')","(1, 'Assessing')"
HTML,"(0.1305851253076724, 'PDF')","(0.5481562907245748, 'TXT')","(0.6309775629320116, 'URN')","(0.6349589807628211, 'MoodleResourceBased')","(0.6366677544033249, 'URL')","(0.6456729812032256, 'WebAnnotationClient')","(0.650710493678224, 'Number')","(0.6507486884648407, 'Date')","(0.6528961594211278, 'Alphabetical')","(0.6601590827424058, 'Export')","(0.6682145931222008, 'LastAnnotation')","(0.6698589130765618, 'MoodleComment')","(0.6710756986640809, 'Assessing')","(0.6712170677822142, 'Canvas')","(0.6718913807510718, 'Remote')","(0.6720492957326069, 'AnnotationList')","(0.6732559640829756, 'SentimentAnalysis')","(0.6734005642222456, 'TextSummary')","(0.6767469894258225, 'Categorize')","(0.6777820808514085, 'JSON')","(0.6786288338186612, 'Create')","(0.6788524226617154, 'Update')","(0.6789832279848864, 'Autocomplete')","(0.679072235304216, 'Delete')","(0.679880360856759, 'Commenting')","(0.68069565197032, 'MoodleConsumer')","(0.6811706203831135, 'ImportAnnotations')","(0.6814916119995107, 'DeleteAll')","(0.6815133136093054, 'Dropbox')","(0.6822345851928023, 'MoodleReport')","(0.6831616696243306, 'Selector')","(0.6837026703324847, 'ScienceDirect')","(0.6837047110119991, 'MoodleResource')","(0.6837606218459187, 'Neo4J')","(0.6838400460196178, 'Codebook')","(0.684007376172814, 'DOI')","(0.6840073761728143, 'ACM')","(0.6840345889437274, 'Replying')","(0.6846238091449677, 'Classifying')","(0.6846812188527753, 'BrowserStorage')","(0.6849742216602832, 'AnnotatedPDF')","(0.684982565539044, 'Springer')","(0.6851944412689179, 'ImportCodebook')","(0.6855887804663334, 'BuiltIn')","(0.6856045838348188, 'SuggestedLiterature')","(0.6859018091285005, 'UserFilter')","(0.6859475651020697, 'SidebarNavigation')","(0.6861231151543854, 'PreviousAssignments')","(0.6863533317383786, 'ApplicationBased')","(0.6868888695322003, 'ExportCodebook')","(0.6869320242667531, 'Hypothesis')","(0.6870321987906718, 'Hosting')","(0.687613345038572, 'Hierarchy')","(0.6878648752415182, 'GoogleSheetProvider')","(0.68807341927218, 'Manual')","(0.6882030319881411, 'Multivalued')","(0.6882984853334821, 'RenameCodebook')","(0.6884452855865058, 'CodebookDelete')","(0.689303094527554, 'CodebookUpdate')","(0.6894014389872936, 'AnnotationServer')","(0.6896026381472918, 'GoogleSheetConsumer')","(0.691101463286167, 'MoodleProvider')","(1, 'HTML')"
Update,"(0.008941258741005695, 'Delete')","(0.018687339414405393, 'Create')","(0.03808422343808202, 'UserFilter')","(0.18501525592559226, 'DeleteAll')","(0.3617451446758813, 'ImportAnnotations')","(0.40730220820981944, 'SidebarNavigation')","(0.4417446489758988, 'Autocomplete')","(0.46601822968614826, 'JSON')","(0.4835732360574262, 'Hierarchy')","(0.49229701297384365, 'Remote')","(0.518916707302575, 'Multivalued')","(0.526283239226056, 'CodebookUpdate')","(0.5392249166374348, 'Number')","(0.5406490934957544, 'Replying')","(0.5437082016068018, 'Classifying')","(0.5451276801370014, 'Export')","(0.5637338877019056, 'Codebook')","(0.5711233600373169, 'Date')","(0.5715006840130563, 'MoodleReport')","(0.6114720697477902, 'ImportCodebook')","(0.612270508466658, 'Selector')","(0.6207382628954978, 'BuiltIn')","(0.6256349712513434, 'ExportCodebook')","(0.6536333564955714, 'BrowserStorage')","(0.6587592018924825, 'Canvas')","(0.6710949919356999, 'AnnotatedPDF')","(0.6720113851371883, 'MoodleResourceBased')","(0.672292557859197, 'URL')","(0.6740559778957691, 'Hypothesis')","(0.6757806613601307, 'WebAnnotationClient')","(0.6778623750081034, 'Alphabetical')","(0.6788524226617154, 'HTML')","(0.6808256359657351, 'GoogleSheetProvider')","(0.6813721856871824, 'PDF')","(0.6827590318258854, 'TXT')","(0.6829432339636254, 'LastAnnotation')","(0.6834831099637888, 'MoodleComment')","(0.6837360366173182, 'Assessing')","(0.6842533057085652, 'AnnotationList')","(0.6848462424728421, 'TextSummary')","(0.6849831151841563, 'SentimentAnalysis')","(0.6857213229749333, 'Categorize')","(0.6859132841815885, 'URN')","(0.6869095407049137, 'Commenting')","(0.6874765478633651, 'MoodleConsumer')","(0.6875664575075531, 'Dropbox')","(0.6886357558965395, 'ACM')","(0.6886357558965397, 'DOI')","(0.6887656264586066, 'ScienceDirect')","(0.6888034747956151, 'Neo4J')","(0.6890805700500158, 'Springer')","(0.6893736472206466, 'SuggestedLiterature')","(0.6895380603178722, 'MoodleResource')","(0.6900816671095791, 'PreviousAssignments')","(0.6903864027151378, 'Hosting')","(0.6906650462335301, 'ApplicationBased')","(0.690747612796075, 'RenameCodebook')","(0.6908284164340416, 'CodebookDelete')","(0.6913451772156726, 'Manual')","(0.6913739513449539, 'AnnotationServer')","(0.6914934843032929, 'GoogleSheetConsumer')","(0.6924547911140528, 'MoodleProvider')","(1, 'Update')"
Hypothesis,"(0.024824577330590705, 'AnnotationServer')","(0.1292780052061066, 'Remote')","(0.21538841386904325, 'WebAnnotationClient')","(0.3723824931511692, 'ApplicationBased')","(0.4695104265450146, 'BuiltIn')","(0.49127904661441835, 'ScienceDirect')","(0.5236174600252895, 'Codebook')","(0.5257085346059602, 'Neo4J')","(0.54112284339793, 'Manual')","(0.5516232603391741, 'GoogleSheetProvider')","(0.5558089209195592, 'BrowserStorage')","(0.6017108562113143, 'Hosting')","(0.6125658933723002, 'MoodleProvider')","(0.6138829721138043, 'MoodleConsumer')","(0.6230861681356468, 'URL')","(0.6237194638899426, 'MoodleResource')","(0.6245490231404087, 'MoodleResourceBased')","(0.6258043773724071, 'MoodleReport')","(0.6281107447234138, 'TXT')","(0.628730185424616, 'Dropbox')","(0.6290175840998125, 'DOI')","(0.6472547816657532, 'Replying')","(0.6484916310494588, 'MoodleComment')","(0.6601400764301044, 'Autocomplete')","(0.6740559778957691, 'Update')","(0.6742495978793586, 'Delete')","(0.6743240484265984, 'Create')","(0.6745562158406068, 'UserFilter')","(0.6756001036744099, 'DeleteAll')","(0.6756932867392547, 'PreviousAssignments')","(0.6788448618678208, 'JSON')","(0.6793434597763127, 'ImportAnnotations')","(0.6823397594995069, 'SidebarNavigation')","(0.6851253178056675, 'Canvas')","(0.6860042126386918, 'Number')","(0.6860049026201536, 'Date')","(0.6862846554896316, 'Alphabetical')","(0.6863550643530303, 'Hierarchy')","(0.6869320242667531, 'HTML')","(0.6877027017572925, 'AnnotatedPDF')","(0.6879270175643746, 'Export')","(0.6885564279554861, 'PDF')","(0.6892822813241357, 'LastAnnotation')","(0.6895881547198394, 'Assessing')","(0.6898797692935628, 'AnnotationList')","(0.6901676709717912, 'TextSummary')","(0.6902763699043826, 'SentimentAnalysis')","(0.6904210559637336, 'Categorize')","(0.6906292621548329, 'URN')","(0.690864103846963, 'Commenting')","(0.6914559684140128, 'ACM')","(0.6915663950398552, 'Selector')","(0.6916028137192708, 'Springer')","(0.6916992518364742, 'SuggestedLiterature')","(0.6917102034342373, 'Classifying')","(0.6920646670150199, 'ImportCodebook')","(0.6921432170188953, 'Multivalued')","(0.6921614857651671, 'RenameCodebook')","(0.692189979535237, 'CodebookDelete')","(0.6922028772919662, 'ExportCodebook')","(0.6924362964464048, 'GoogleSheetConsumer')","(0.6926170552793625, 'CodebookUpdate')","(1, 'Hypothesis')"
