QueryProject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Manual,"(0.1437223206964147, 'RenameCodebook')","(0.28934219646073644, 'CodebookDelete')","(0.3353655459751146, 'ExportCodebook')","(0.6715449011322165, 'Export')","(0.6983016605704379, 'Codebook')","(0.730597962322257, 'BuiltIn')","(0.7402319827371262, 'ApplicationBased')","(0.7530580303810914, 'CodebookUpdate')","(0.7612467577756438, 'AnnotationServer')","(0.7622216558094908, 'BrowserStorage')","(0.7947586114922365, 'ImportCodebook')","(0.8228294546824644, 'Autocomplete')","(0.8267944445139601, 'Date')","(0.8314540237156879, 'DeleteAll')","(0.8316046701390277, 'Classifying')","(0.8316160087874868, 'MoodleReport')","(0.8317666249851753, 'SidebarNavigation')","(0.8319145860277914, 'MultiValued')","(0.8321913178314696, 'Hierarchy')"
AnnotationServer,"(0.14810770362458653, 'BrowserStorage')","(0.6092608175381107, 'ApplicationBased')","(0.7042337320583453, 'BuiltIn')","(0.7138765051273999, 'Codebook')","(0.7612467577756438, 'Manual')","(0.8142928334692648, 'Autocomplete')","(0.828184269505659, 'Date')","(0.8292581135503726, 'Export')","(0.8314636636108431, 'DeleteAll')","(0.8315421310301746, 'Classifying')","(0.8315860882417555, 'MoodleReport')","(0.8317179155155822, 'SidebarNavigation')","(0.8318111070991862, 'ImportCodebook')","(0.8318567423396211, 'MultiValued')","(0.8318731559904161, 'ExportCodebook')","(0.8318740472153189, 'CodebookDelete')","(0.8319090138638043, 'RenameCodebook')","(0.8321216692387267, 'CodebookUpdate')","(0.8321406320785919, 'Hierarchy')"
Hierarchy,"(0.16475912662075937, 'Date')","(0.1983435119614362, 'CodebookUpdate')","(0.24273419183058328, 'SidebarNavigation')","(0.29127555109144465, 'MultiValued')","(0.4503869571685921, 'Classifying')","(0.49229260193848895, 'Codebook')","(0.5963387251500324, 'BuiltIn')","(0.6047302071602362, 'ApplicationBased')","(0.6238163143654196, 'Autocomplete')","(0.6707944845043341, 'Export')","(0.715153313299849, 'MoodleReport')","(0.730417332443204, 'ImportCodebook')","(0.7318152610498394, 'ExportCodebook')","(0.8315708771005292, 'DeleteAll')","(0.8319102184314054, 'BrowserStorage')","(0.8320043249626974, 'CodebookDelete')","(0.8320190117389465, 'RenameCodebook')","(0.8321406320785919, 'AnnotationServer')","(0.8321913178314696, 'Manual')"
MoodleReport,"(0.4400341387270061, 'Classifying')","(0.4786535238459586, 'MultiValued')","(0.525011166208875, 'SidebarNavigation')","(0.715153313299849, 'Hierarchy')","(0.7383691694149358, 'Autocomplete')","(0.7515259009754691, 'Date')","(0.7586452324146996, 'CodebookUpdate')","(0.771089576097004, 'Codebook')","(0.7803400480260524, 'BuiltIn')","(0.7811829295245967, 'ApplicationBased')","(0.785009380191496, 'Export')","(0.7988821318812882, 'ImportCodebook')","(0.7992548646362067, 'ExportCodebook')","(0.8302895149608158, 'DeleteAll')","(0.8309551971727157, 'BrowserStorage')","(0.8311642308532387, 'CodebookDelete')","(0.8312966727805348, 'RenameCodebook')","(0.8315860882417555, 'AnnotationServer')","(0.8316160087874868, 'Manual')"
ExportCodebook,"(0.30921908565403866, 'RenameCodebook')","(0.3353655459751146, 'Manual')","(0.38583866568658515, 'CodebookDelete')","(0.43341374962444895, 'Export')","(0.5214507951833824, 'Codebook')","(0.5524236072311524, 'BuiltIn')","(0.5903293095597558, 'ImportCodebook')","(0.5931924986473077, 'ApplicationBased')","(0.6273260972476276, 'CodebookUpdate')","(0.6921503752446321, 'Classifying')","(0.7256489263960119, 'Date')","(0.7318152610498394, 'Hierarchy')","(0.7389638486947071, 'SidebarNavigation')","(0.7419610971476917, 'MultiValued')","(0.7721262874238588, 'Autocomplete')","(0.7992548646362067, 'MoodleReport')","(0.8308616156675945, 'DeleteAll')","(0.8314463776794645, 'BrowserStorage')","(0.8318731559904161, 'AnnotationServer')"
CodebookDelete,"(0.25634836866651445, 'RenameCodebook')","(0.28934219646073644, 'Manual')","(0.38583866568658515, 'ExportCodebook')","(0.6646650131704042, 'DeleteAll')","(0.6779469875102799, 'Export')","(0.739865700997659, 'Codebook')","(0.7558550068136384, 'CodebookUpdate')","(0.7706717941565013, 'BuiltIn')","(0.7894990337466263, 'BrowserStorage')","(0.7907442488391161, 'ApplicationBased')","(0.7955300269328491, 'ImportCodebook')","(0.8253896446871877, 'Date')","(0.8307152381720476, 'Autocomplete')","(0.8310972485547586, 'Classifying')","(0.8311642308532387, 'MoodleReport')","(0.8313741893830036, 'SidebarNavigation')","(0.8315892208568404, 'MultiValued')","(0.8318740472153189, 'AnnotationServer')","(0.8320043249626974, 'Hierarchy')"
SidebarNavigation,"(0.05379315746453956, 'MultiValued')","(0.24273419183058328, 'Hierarchy')","(0.29072904194969784, 'Classifying')","(0.32455838661687697, 'Date')","(0.34686364337995346, 'CodebookUpdate')","(0.525011166208875, 'MoodleReport')","(0.5379451157100484, 'Codebook')","(0.6192707039148047, 'Autocomplete')","(0.6220125264438862, 'BuiltIn')","(0.6289870442553169, 'ApplicationBased')","(0.6827644020780013, 'Export')","(0.7376509749700288, 'ImportCodebook')","(0.7389638486947071, 'ExportCodebook')","(0.8305895190766086, 'DeleteAll')","(0.8311895057708498, 'BrowserStorage')","(0.8313741893830036, 'CodebookDelete')","(0.8314655557131936, 'RenameCodebook')","(0.8317179155155822, 'AnnotationServer')","(0.8317666249851753, 'Manual')"
DeleteAll,"(0.6646650131704042, 'CodebookDelete')","(0.7569784281183565, 'BrowserStorage')","(0.8244193915754922, 'Date')","(0.8257672494591508, 'Export')","(0.8294779662862182, 'Autocomplete')","(0.8299820204516589, 'Classifying')","(0.8302895149608158, 'MoodleReport')","(0.8303758810419422, 'Codebook')","(0.8305895190766086, 'SidebarNavigation')","(0.830723689846784, 'ApplicationBased')","(0.8307431450800028, 'ImportCodebook')","(0.8307563207655262, 'BuiltIn')","(0.8308616156675945, 'ExportCodebook')","(0.8309167534773102, 'MultiValued')","(0.8311525887255582, 'RenameCodebook')","(0.8314295091506144, 'CodebookUpdate')","(0.8314540237156879, 'Manual')","(0.8314636636108431, 'AnnotationServer')","(0.8315708771005292, 'Hierarchy')"
ApplicationBased,"(0.1271703783484839, 'BuiltIn')","(0.19377825426991788, 'Codebook')","(0.37310943174042055, 'Export')","(0.3885031857190491, 'ImportCodebook')","(0.5544377976399412, 'CodebookUpdate')","(0.5652945913589146, 'Classifying')","(0.5931924986473077, 'ExportCodebook')","(0.5975188040448334, 'Date')","(0.6047302071602362, 'Hierarchy')","(0.6092608175381107, 'AnnotationServer')","(0.6148353481019099, 'BrowserStorage')","(0.6289870442553169, 'SidebarNavigation')","(0.6378863925619322, 'MultiValued')","(0.7078209191210694, 'Autocomplete')","(0.7402319827371262, 'Manual')","(0.7811829295245967, 'MoodleReport')","(0.7889012081733051, 'RenameCodebook')","(0.7907442488391161, 'CodebookDelete')","(0.830723689846784, 'DeleteAll')"
Autocomplete,"(0.5670740860886708, 'Classifying')","(0.6192707039148047, 'SidebarNavigation')","(0.6238163143654196, 'Hierarchy')","(0.6240295176780267, 'MultiValued')","(0.6294985515357826, 'Date')","(0.6442421978148917, 'CodebookUpdate')","(0.6782100336506492, 'Codebook')","(0.7076792023853227, 'BuiltIn')","(0.7078209191210694, 'ApplicationBased')","(0.7383691694149358, 'MoodleReport')","(0.739084012032975, 'Export')","(0.7713409763051583, 'ImportCodebook')","(0.7721262874238588, 'ExportCodebook')","(0.8136271798427153, 'BrowserStorage')","(0.8142928334692648, 'AnnotationServer')","(0.8228294546824644, 'Manual')","(0.8294779662862182, 'DeleteAll')","(0.8307152381720476, 'CodebookDelete')","(0.8309207523778983, 'RenameCodebook')"
