QueryProject,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Linking,"(0.011815145913068389, 'Update')","(0.018793107957637604, 'UserFilter')","(0.06400406465996425, 'Delete')","(0.11893138510427408, 'Create')","(0.13628605896526583, 'DeleteAll')","(0.2557213154746883, 'AnnotationList')","(0.37788408350636327, 'Neo4J')","(0.4330797621080366, 'Remote')","(0.48208360757712276, 'Hierarchy')","(0.5232674712103781, 'CodebookUpdate')","(0.5892283333980349, 'Multivalued')","(0.5952628712138601, 'SidebarNavigation')","(0.6066074358077791, 'Classifying')","(0.6091527751629345, 'Export')","(0.6124666062783235, 'Autocomplete')","(0.6126764778592161, 'MoodleResource')","(0.6169274842804695, 'Codebook')","(0.6230459793258785, 'MoodleReport')","(0.6302997152136123, 'ImportAnnotations')","(0.6431728605221585, 'ImportCodebook')","(0.6454892516087942, 'Selector')","(0.6473137601101797, 'ExportCodebook')","(0.6551485035076849, 'BuiltIn')","(0.6768771169279136, 'URL')","(0.6845838926633024, 'Alphabetical')","(0.6845838926633024, 'Date')","(0.6845838926633024, 'Number')","(0.6872316438648445, 'HTML')","(0.6879826473011679, 'Assessing')","(0.6888415744614869, 'PDF')","(0.6889580587636375, 'Canvas')","(0.6891034216949325, 'LastAnnotation')","(0.6897263680977102, 'TXT')","(0.689978370649845, 'TextSummary')","(0.6900904621506225, 'MoodleComment')","(0.6903105094493193, 'Categorize')","(0.6903390624673074, 'SentimentAnalysis')","(0.6908577583549509, 'URN')","(0.6912710286740471, 'Dropbox')","(0.6912809044315504, 'JSON')","(0.6912912169953556, 'Commenting')","(0.6913904610334409, 'MoodleConsumer')","(0.6917080250607079, 'SuggestedLiterature')","(0.6917796960486395, 'DOI')","(0.6918133083186404, 'ACM')","(0.6919333166563127, 'ScienceDirect')","(0.6919665851383587, 'Springer')","(0.6919702151486704, 'AnnotatedPDF')","(0.6922889646427952, 'Replying')","(0.692353978673794, 'BrowserStorage')","(0.692401086258632, 'Hosting')","(0.6924051134233721, 'PreviousAssignments')","(0.6924847291444105, 'RenameCodebook')","(0.6925074446701454, 'CodebookDelete')","(0.6926174176675868, 'GoogleSheetConsumer')","(0.6926256733269839, 'Hypothesis')","(0.6926406536725858, 'ApplicationBased')","(0.6926904412420269, 'AnnotationServer')","(0.6927008129471166, 'Manual')","(0.6927598658865204, 'GoogleSheetProvider')"
Delete,"(0.01564969179385054, 'Create')","(0.04650653098443765, 'UserFilter')","(0.06400406465996425, 'Linking')","(0.08964098775533091, 'Update')","(0.15590055966284463, 'DeleteAll')","(0.18967139689234983, 'AnnotationList')","(0.3222764224800977, 'Remote')","(0.3848403239931722, 'Neo4J')","(0.49138883584091964, 'Replying')","(0.4965143908602173, 'Selector')","(0.5337227270765006, 'HTML')","(0.5402829187239806, 'Classifying')","(0.548321780049923, 'Autocomplete')","(0.5599602405456361, 'Commenting')","(0.5745369387440388, 'PDF')","(0.5836537635882375, 'Hierarchy')","(0.5889432368735705, 'SidebarNavigation')","(0.6123049835929713, 'MoodleResource')","(0.6238537403989728, 'CodebookUpdate')","(0.647245166184062, 'MoodleReport')","(0.6678815906390864, 'URL')","(0.6775863625667576, 'Alphabetical')","(0.6775863625667577, 'Date')","(0.6775863625667577, 'Number')","(0.6814708867184902, 'Export')","(0.682295597612357, 'Assessing')","(0.68377511758969, 'Canvas')","(0.6840038625897553, 'LastAnnotation')","(0.6844277751921597, 'TXT')","(0.6852270674229919, 'MoodleComment')","(0.6854429676861385, 'TextSummary')","(0.6860251370363166, 'Categorize')","(0.686076350419462, 'SentimentAnalysis')","(0.6868205668647365, 'URN')","(0.6878857657340458, 'Dropbox')","(0.6879067649340529, 'JSON')","(0.6879543875351819, 'MoodleConsumer')","(0.6886974335846322, 'DOI')","(0.6888677145254029, 'SuggestedLiterature')","(0.689011429108281, 'ScienceDirect')","(0.6891231858270412, 'ACM')","(0.689311247721129, 'AnnotatedPDF')","(0.6895111395818719, 'Springer')","(0.6895161785995368, 'ImportAnnotations')","(0.6899438553498569, 'ImportCodebook')","(0.6900567177844512, 'Codebook')","(0.6903722924235853, 'BrowserStorage')","(0.6905404877763028, 'Hosting')","(0.69059931303514, 'ExportCodebook')","(0.6907429638861644, 'Multivalued')","(0.6907452700076583, 'PreviousAssignments')","(0.6907891436939257, 'BuiltIn')","(0.6909900769380274, 'RenameCodebook')","(0.6910549333938334, 'ApplicationBased')","(0.6910609051577785, 'CodebookDelete')","(0.6910639206839102, 'Hypothesis')","(0.6912692449095378, 'Manual')","(0.6914081836295173, 'GoogleSheetConsumer')","(0.6916361258067787, 'GoogleSheetProvider')","(0.6916401935060985, 'AnnotationServer')"
ScienceDirect,"(0.024100845794484113, 'DOI')","(0.5050468720607414, 'Hosting')","(0.5283167195685733, 'AnnotationServer')","(0.5306510209845012, 'Hypothesis')","(0.5328620393392844, 'BrowserStorage')","(0.5414734274198106, 'Canvas')","(0.5416535787689765, 'LastAnnotation')","(0.542810812804184, 'TextSummary')","(0.545976850083763, 'ACM')","(0.546328974158574, 'Springer')","(0.5530733091492621, 'Remote')","(0.5577863984893392, 'URN')","(0.56878119046053, 'TXT')","(0.5732830693496533, 'AnnotationList')","(0.5907362446157173, 'Neo4J')","(0.5912162031184665, 'ApplicationBased')","(0.5976234591067195, 'Manual')","(0.6050897585944737, 'Codebook')","(0.6089788215154033, 'BuiltIn')","(0.6224737393764985, 'DeleteAll')","(0.6265693962451867, 'GoogleSheetProvider')","(0.6287875309761569, 'AnnotatedPDF')","(0.6332380504603865, 'MoodleReport')","(0.6485315144611001, 'ImportCodebook')","(0.6623616505210952, 'URL')","(0.6747499097554654, 'Alphabetical')","(0.6747499097554654, 'Date')","(0.6747499097554654, 'Number')","(0.6791283756455448, 'HTML')","(0.6797064277475979, 'Export')","(0.6806783250653257, 'Assessing')","(0.6817958964954771, 'PDF')","(0.6843806085235364, 'MoodleComment')","(0.685241653943307, 'Categorize')","(0.6853029320509054, 'SentimentAnalysis')","(0.6870465622511371, 'Commenting')","(0.687434453814215, 'Dropbox')","(0.6874587701289447, 'JSON')","(0.6875498209659996, 'MoodleConsumer')","(0.6875612409074523, 'Autocomplete')","(0.6875833780780629, 'Update')","(0.688282899516368, 'Create')","(0.6885598668760955, 'SuggestedLiterature')","(0.689011429108281, 'Delete')","(0.6893229889503286, 'ImportAnnotations')","(0.689364144773318, 'Classifying')","(0.6895494866441907, 'Selector')","(0.6898550433432131, 'SidebarNavigation')","(0.6899851064457047, 'UserFilter')","(0.690144368935375, 'MoodleResource')","(0.6902642048078698, 'Replying')","(0.6905307884252869, 'ExportCodebook')","(0.6906404280826544, 'PreviousAssignments')","(0.6906569228187434, 'Multivalued')","(0.6909045396233606, 'RenameCodebook')","(0.6909806449448186, 'CodebookDelete')","(0.6911725539601635, 'Hierarchy')","(0.6913518018780922, 'GoogleSheetConsumer')","(0.691531917603051, 'CodebookUpdate')","(0.6919333166563127, 'Linking')"
TextSummary,"(0.0002729839255794815, 'LastAnnotation')","(0.00036541112611477157, 'Canvas')","(0.0017692692805587986, 'ACM')","(0.002136427160094778, 'Springer')","(0.01830103614520429, 'Hosting')","(0.11573941761232945, 'URN')","(0.21249986956900646, 'TXT')","(0.23983031575281072, 'AnnotationList')","(0.5002635381303369, 'DeleteAll')","(0.5016604437992038, 'DOI')","(0.5255325967494742, 'AnnotatedPDF')","(0.5414702379017828, 'MoodleReport')","(0.542810812804184, 'ScienceDirect')","(0.6260395752027227, 'Manual')","(0.656258646397097, 'URL')","(0.667306817119181, 'Alphabetical')","(0.667306817119181, 'Date')","(0.667306817119181, 'Number')","(0.6713762140361735, 'HTML')","(0.6720563116013653, 'Export')","(0.6736909600787022, 'PDF')","(0.6739001476430373, 'Assessing')","(0.6775859184215705, 'MoodleComment')","(0.6788879044789382, 'Remote')","(0.6800879401537894, 'Categorize')","(0.6801793511031704, 'SentimentAnalysis')","(0.6814943130953576, 'Autocomplete')","(0.6815710400334344, 'Commenting')","(0.68313111850778, 'Update')","(0.6831501981814643, 'MoodleConsumer')","(0.6832780650556951, 'Neo4J')","(0.683488663955598, 'Dropbox')","(0.683527677129069, 'JSON')","(0.6842039774889448, 'Create')","(0.6851874113773371, 'ImportCodebook')","(0.6853122891481682, 'SuggestedLiterature')","(0.6853558551975686, 'Classifying')","(0.6854429676861385, 'Delete')","(0.6856506024838018, 'Codebook')","(0.6859164295324534, 'ImportAnnotations')","(0.6861536166590041, 'MoodleResource')","(0.686214630103271, 'SidebarNavigation')","(0.6863418955853919, 'Selector')","(0.6869657400179867, 'BuiltIn')","(0.6872438704229592, 'ExportCodebook')","(0.6874454040509107, 'BrowserStorage')","(0.687627410389828, 'UserFilter')","(0.6878107710245205, 'Hierarchy')","(0.6880108310220914, 'ApplicationBased')","(0.6880726835209414, 'Replying')","(0.6882203318651061, 'Hypothesis')","(0.6882362163058418, 'Multivalued')","(0.6886645968984, 'PreviousAssignments')","(0.688809895843336, 'CodebookUpdate')","(0.6890730344634259, 'RenameCodebook')","(0.6891894705663736, 'CodebookDelete')","(0.6894779213191974, 'GoogleSheetProvider')","(0.689748102311133, 'GoogleSheetConsumer')","(0.689978370649845, 'Linking')","(0.6901090117594688, 'AnnotationServer')"
MoodleConsumer,"(0.02372478839283968, 'MoodleProvider')","(0.18983943428537992, 'MoodleReport')","(0.2093855662986156, 'MoodleResource')","(0.21795152134634918, 'Neo4J')","(0.45027631100231635, 'MoodleComment')","(0.5659791137510859, 'Assessing')","(0.5691933076426442, 'Categorize')","(0.5721586649801367, 'SuggestedLiterature')","(0.6044272860853276, 'Commenting')","(0.6081959603360676, 'Autocomplete')","(0.6229675728111178, 'ApplicationBased')","(0.6296823783201602, 'TXT')","(0.6391844647540315, 'Classifying')","(0.6470483682781403, 'SidebarNavigation')","(0.66357897260234, 'URL')","(0.6647685431960191, 'Hypothesis')","(0.6681384771677173, 'Multivalued')","(0.6739210801539268, 'Alphabetical')","(0.6739210801539268, 'Date')","(0.6739210801539269, 'Number')","(0.6776580958639744, 'HTML')","(0.6781967470707485, 'Export')","(0.679913525875301, 'PDF')","(0.6810858931865613, 'Canvas')","(0.6813650192845468, 'LastAnnotation')","(0.6827746307143536, 'AnnotationList')","(0.6831501981814643, 'TextSummary')","(0.6839521677264078, 'SentimentAnalysis')","(0.6839601031018541, 'Remote')","(0.6847769299768458, 'URN')","(0.6862936468027877, 'Dropbox')","(0.6863001258622379, 'Update')","(0.6863211825386073, 'JSON')","(0.6870899860256727, 'Create')","(0.6871787486980487, 'DOI')","(0.6872388613959426, 'DeleteAll')","(0.6875498209659996, 'ScienceDirect')","(0.6879228640428972, 'ACM')","(0.6879543875351819, 'Delete')","(0.6880558892896886, 'AnnotatedPDF')","(0.6883136654708659, 'ImportAnnotations')","(0.6884337635358868, 'Springer')","(0.6885385304178752, 'ImportCodebook')","(0.688595572101458, 'Selector')","(0.6887482490288085, 'Codebook')","(0.6892628916102402, 'UserFilter')","(0.6894311335711005, 'BrowserStorage')","(0.6895901544191279, 'ExportCodebook')","(0.6895936639724711, 'Replying')","(0.6896646439929535, 'Hosting')","(0.6896930070551384, 'BuiltIn')","(0.6900391627125378, 'PreviousAssignments')","(0.6902328299716174, 'Hierarchy')","(0.6903510314750116, 'RenameCodebook')","(0.6904406849256077, 'CodebookDelete')","(0.6904485007154854, 'Manual')","(0.6907746030159341, 'CodebookUpdate')","(0.6908759935048667, 'GoogleSheetConsumer')","(0.6910111938370698, 'GoogleSheetProvider')","(0.6911623546536505, 'AnnotationServer')"
LastAnnotation,"(6.776322703319984e-06, 'Canvas')","(0.0002729839255794815, 'TextSummary')","(0.00334757479893722, 'ACM')","(0.0038269615207109737, 'Springer')","(0.01992096845607611, 'Hosting')","(0.11568837164763977, 'URN')","(0.2106420896326343, 'TXT')","(0.23844216839636775, 'AnnotationList')","(0.4991248379153834, 'DeleteAll')","(0.5006507327598695, 'DOI')","(0.5247776380662619, 'AnnotatedPDF')","(0.539537284120729, 'MoodleReport')","(0.5416535787689765, 'ScienceDirect')","(0.6251769526410391, 'Manual')","(0.6491095179697168, 'URL')","(0.6622989312324814, 'Alphabetical')","(0.6622989312324814, 'Date')","(0.6622989312324814, 'Number')","(0.6671055480636123, 'HTML')","(0.6679360463335942, 'Export')","(0.6697285870905422, 'PDF')","(0.6703344871032094, 'Assessing')","(0.6745319293252404, 'MoodleComment')","(0.6758654210902928, 'Remote')","(0.6778569383403868, 'Categorize')","(0.6779670178145931, 'SentimentAnalysis')","(0.6789226376855596, 'Autocomplete')","(0.6792687334591295, 'Commenting')","(0.6812701530583521, 'Neo4J')","(0.6813171912559212, 'Update')","(0.6813650192845468, 'MoodleConsumer')","(0.681914973669996, 'Dropbox')","(0.6819610093015627, 'JSON')","(0.6825500750471684, 'Create')","(0.6831596888482581, 'ImportCodebook')","(0.6836764711846195, 'Classifying')","(0.6837682814725344, 'Codebook')","(0.6840038625897553, 'Delete')","(0.6840513889405571, 'SuggestedLiterature')","(0.6844334759741308, 'MoodleResource')","(0.68453444249273, 'ImportAnnotations')","(0.6846819873500518, 'SidebarNavigation')","(0.6850443111941055, 'Selector')","(0.685291160528955, 'BuiltIn')","(0.6858276413759644, 'ExportCodebook')","(0.6862808892994309, 'BrowserStorage')","(0.6863261381882779, 'Hierarchy')","(0.6866955179942102, 'ApplicationBased')","(0.6867109426048926, 'UserFilter')","(0.6870157684445525, 'Hypothesis')","(0.6872145918046586, 'Replying')","(0.6872416461672834, 'Multivalued')","(0.6875975873519684, 'CodebookUpdate')","(0.6878796867924626, 'PreviousAssignments')","(0.6883355024181887, 'RenameCodebook')","(0.6884649543240218, 'CodebookDelete')","(0.688535847699448, 'GoogleSheetProvider')","(0.6890828280042458, 'GoogleSheetConsumer')","(0.6891034216949325, 'Linking')","(0.6894790022912619, 'AnnotationServer')"
Manual,"(0.04120849775880177, 'RenameCodebook')","(0.041208640280546674, 'CodebookDelete')","(0.04134733000906964, 'ApplicationBased')","(0.07029652323534408, 'BuiltIn')","(0.11486117559024749, 'ExportCodebook')","(0.18747368480125542, 'ImportCodebook')","(0.21204327635648695, 'Codebook')","(0.3656167028607257, 'BrowserStorage')","(0.40341104086131097, 'DeleteAll')","(0.530178672489154, 'CodebookUpdate')","(0.5413841248477422, 'AnnotationServer')","(0.543881787955387, 'Hypothesis')","(0.5662533759039912, 'Remote')","(0.5870488108478544, 'Hosting')","(0.5976234591067195, 'ScienceDirect')","(0.5995228797326686, 'Neo4J')","(0.604294218986371, 'PDF')","(0.6250351724729273, 'Canvas')","(0.6251769526410391, 'LastAnnotation')","(0.6260395752027227, 'TextSummary')","(0.6279457668562447, 'ACM')","(0.6281180224551715, 'Springer')","(0.6307710089114382, 'GoogleSheetProvider')","(0.6317914061438716, 'URN')","(0.6352732464298576, 'TXT')","(0.6370560935408947, 'AnnotationList')","(0.6429597476504665, 'DOI')","(0.6588233439257721, 'AnnotatedPDF')","(0.6609630407561777, 'MoodleReport')","(0.6706513789965725, 'URL')","(0.6809837611840103, 'Alphabetical')","(0.6809837611840103, 'Date')","(0.6809837611840103, 'Number')","(0.6845922737717991, 'HTML')","(0.6850373315435956, 'Export')","(0.685642228069669, 'Assessing')","(0.6885662920510455, 'MoodleComment')","(0.6889042577368143, 'Categorize')","(0.6889448959056963, 'SentimentAnalysis')","(0.6902856894341305, 'Dropbox')","(0.6902872386917918, 'Commenting')","(0.6903000855514787, 'JSON')","(0.6904485007154854, 'MoodleConsumer')","(0.6904795545454498, 'Update')","(0.6907506117114595, 'Autocomplete')","(0.6908850153433388, 'Create')","(0.6909282175808938, 'SuggestedLiterature')","(0.6912692449095378, 'Delete')","(0.691434752021763, 'ImportAnnotations')","(0.6915419005965685, 'Selector')","(0.6915511999083443, 'Classifying')","(0.6916710365590645, 'UserFilter')","(0.6917847077797172, 'SidebarNavigation')","(0.6918080005715284, 'Replying')","(0.6919892555269036, 'PreviousAssignments')","(0.6920006252434385, 'MoodleResource')","(0.6920646387603702, 'Multivalued')","(0.692326327578757, 'GoogleSheetConsumer')","(0.6924835362022326, 'Hierarchy')","(0.6927008129471166, 'Linking')"
Assessing,"(0.0017849321146162962, 'Categorize')","(0.005378441481150058, 'SuggestedLiterature')","(0.3308756098719357, 'Commenting')","(0.5053470338822327, 'TXT')","(0.5353793469624026, 'Classifying')","(0.5659791137510859, 'MoodleConsumer')","(0.5684638753975755, 'SidebarNavigation')","(0.6286047737842033, 'Hypothesis')","(0.6300378325185365, 'MoodleReport')","(0.6395366051681802, 'Multivalued')","(0.6405954243020677, 'URL')","(0.6565223944478991, 'Alphabetical')","(0.6565223944478991, 'Date')","(0.6565223944478991, 'Number')","(0.6621969102738602, 'HTML')","(0.6632084405232281, 'Export')","(0.6651230609196359, 'PDF')","(0.6697822017099633, 'Canvas')","(0.6703344871032094, 'LastAnnotation')","(0.6709955988494363, 'MoodleComment')","(0.6712964193655884, 'AnnotationList')","(0.6722672968529162, 'Remote')","(0.6739001476430373, 'TextSummary')","(0.6755101587385626, 'SentimentAnalysis')","(0.675801529464408, 'Autocomplete')","(0.676140103164413, 'URN')","(0.6788603083522138, 'Neo4J')","(0.6792169061235578, 'Update')","(0.6799487299247404, 'DeleteAll')","(0.6801544620607272, 'Dropbox')","(0.6802079934810696, 'JSON')","(0.6804017903138511, 'DOI')","(0.6806070651812753, 'Create')","(0.680612251537712, 'ImportCodebook')","(0.6806783250653257, 'ScienceDirect')","(0.6813960915917594, 'Codebook')","(0.68227704868648, 'MoodleResource')","(0.682295597612357, 'Delete')","(0.682527485071158, 'AnnotatedPDF')","(0.6828785364156396, 'ImportAnnotations')","(0.6831615314443309, 'BuiltIn')","(0.6832459522223511, 'ACM')","(0.6834878291206421, 'Selector')","(0.6840498326954467, 'ExportCodebook')","(0.6841761831606521, 'Springer')","(0.684439900361435, 'Hierarchy')","(0.6848539471328562, 'BrowserStorage')","(0.6850295542798568, 'ApplicationBased')","(0.6854154999052722, 'Hosting')","(0.6856355118593045, 'UserFilter')","(0.685642228069669, 'Manual')","(0.6860496791774204, 'CodebookUpdate')","(0.6861983374769278, 'Replying')","(0.6869372144464554, 'PreviousAssignments')","(0.687335981138725, 'GoogleSheetProvider')","(0.6874405554510545, 'RenameCodebook')","(0.6875830301794841, 'CodebookDelete')","(0.6879826473011679, 'Linking')","(0.6882599944348373, 'GoogleSheetConsumer')","(0.6886911999436962, 'AnnotationServer')"
HTML,"(0.05859167248994837, 'PDF')","(0.209573176885109, 'AnnotatedPDF')","(0.25428634170639614, 'Replying')","(0.26805476563316505, 'Selector')","(0.3879862130639842, 'Classifying')","(0.4062184103789155, 'Autocomplete')","(0.4370948592751097, 'Commenting')","(0.44020516110961216, 'TXT')","(0.4509197074836064, 'Create')","(0.4640211252137709, 'Remote')","(0.5066821365432189, 'SidebarNavigation')","(0.5337227270765006, 'Delete')","(0.5428333301806989, 'AnnotationList')","(0.6156102827437129, 'MoodleReport')","(0.6227529083564218, 'MoodleResource')","(0.6285293601344788, 'URL')","(0.6498102283330875, 'Alphabetical')","(0.6498102283330877, 'Date')","(0.6498102283330877, 'Number')","(0.6584465228555648, 'Export')","(0.6621969102738602, 'Assessing')","(0.6664366810224773, 'Canvas')","(0.6671055480636123, 'LastAnnotation')","(0.667971995974853, 'MoodleComment')","(0.6713762140361735, 'TextSummary')","(0.6731232256004842, 'Categorize')","(0.6732770684597109, 'SentimentAnalysis')","(0.6739995408943351, 'URN')","(0.6770566007995826, 'Neo4J')","(0.6775413705581912, 'Update')","(0.6776580958639744, 'MoodleConsumer')","(0.6782925942743826, 'DeleteAll')","(0.678661452828297, 'Dropbox')","(0.678722636979233, 'JSON')","(0.6788650236928089, 'DOI')","(0.6788798588129072, 'ImportCodebook')","(0.6791283756455448, 'ScienceDirect')","(0.6797682750176588, 'Codebook')","(0.6814592250141378, 'SuggestedLiterature')","(0.6816497481367361, 'ImportAnnotations')","(0.6817291341786735, 'BuiltIn')","(0.6821607568664091, 'ACM')","(0.6828270883226251, 'ExportCodebook')","(0.6831849357860473, 'Hierarchy')","(0.6831996870540975, 'Springer')","(0.683834649664758, 'BrowserStorage')","(0.6839007348510944, 'ApplicationBased')","(0.6844754671912938, 'Hosting')","(0.6844791053298349, 'Hypothesis')","(0.6845922737717991, 'Manual')","(0.6848157316704351, 'UserFilter')","(0.6850163338387789, 'CodebookUpdate')","(0.6851645108122353, 'Multivalued')","(0.6862421316963627, 'PreviousAssignments')","(0.6865231478365715, 'GoogleSheetProvider')","(0.686789589254938, 'RenameCodebook')","(0.6869441110821817, 'CodebookDelete')","(0.6872316438648445, 'Linking')","(0.6876755144533526, 'GoogleSheetConsumer')","(0.688138820792775, 'AnnotationServer')"
Update,"(0.011815145913068389, 'Linking')","(0.04853363585535019, 'UserFilter')","(0.08964098775533091, 'Delete')","(0.14037281544530847, 'Create')","(0.1566370168660308, 'DeleteAll')","(0.2660401931679237, 'AnnotationList')","(0.38430670148959617, 'Neo4J')","(0.3882333140004437, 'Hierarchy')","(0.4289063919027924, 'CodebookUpdate')","(0.4349066017690731, 'Remote')","(0.48809279374841336, 'Multivalued')","(0.5019164081534444, 'SidebarNavigation')","(0.5286367246541404, 'Classifying')","(0.5331010335079951, 'Export')","(0.5409430126308478, 'Autocomplete')","(0.5526421528004659, 'Codebook')","(0.5653227267213286, 'MoodleReport')","(0.5825475287800653, 'ImportAnnotations')","(0.6090419645388512, 'ImportCodebook')","(0.6114475244753876, 'MoodleResource')","(0.6141341403998701, 'Selector')","(0.6181043941789808, 'ExportCodebook')","(0.6328481090630509, 'BuiltIn')","(0.6628261255397893, 'URL')","(0.6736602754763497, 'Alphabetical')","(0.6736602754763497, 'Date')","(0.6736602754763497, 'Number')","(0.6775413705581912, 'HTML')","(0.6792169061235578, 'Assessing')","(0.6798781884061414, 'PDF')","(0.681032747235681, 'Canvas')","(0.6813171912559212, 'LastAnnotation')","(0.6815126036217598, 'TXT')","(0.6826295566431271, 'MoodleComment')","(0.68313111850778, 'TextSummary')","(0.6838770963676355, 'Categorize')","(0.6839430512766616, 'SentimentAnalysis')","(0.6847894533307738, 'URN')","(0.6855313134536565, 'Commenting')","(0.6863001258622379, 'MoodleConsumer')","(0.6863036594242531, 'Dropbox')","(0.6863313376665631, 'JSON')","(0.6872083526921813, 'DOI')","(0.6875833780780629, 'ScienceDirect')","(0.6876008754723535, 'SuggestedLiterature')","(0.6879384654917025, 'ACM')","(0.6880810015144121, 'AnnotatedPDF')","(0.6884500632400201, 'Springer')","(0.6894566432553356, 'BrowserStorage')","(0.689610125018721, 'Replying')","(0.6896887498251314, 'Hosting')","(0.6900552810535068, 'PreviousAssignments')","(0.690198877412565, 'ApplicationBased')","(0.6902493950313893, 'Hypothesis')","(0.6903668148872404, 'RenameCodebook')","(0.6904563603013532, 'CodebookDelete')","(0.6904795545454498, 'Manual')","(0.6908910873649445, 'GoogleSheetConsumer')","(0.691034566356793, 'GoogleSheetProvider')","(0.6911770305297991, 'AnnotationServer')"
