,1None,2None,7None,9None,6None,0None,3None,8None,5None,4None
Delete,0.0,0.0,0.0,0.0,0.0,1.0001514921986783,0.0,0.0,0.0,0.0
ScienceDirect,0.0,0.0,0.0,0.0,1.0001943727446396,0.0,0.0,0.0,0.0,0.0
TextSummary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MoodleConsumer,0.0,0.0,0.0,0.0,1.0002919281856664,0.0,0.0,0.0,0.0,0.0
LastAnnotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Manual,0.0,1.000014965025783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assessing,0.0,0.0,0.0,0.0,0.0,0.0,1.0008326394671108,0.0,0.0,0.0
HTML,1.0368033648790744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Update,0.0,0.0,0.0,0.0,0.0,1.0001680389850445,0.0,0.0,0.0,0.0
Hypothesis,0.0,0.0,0.0,0.0,1.0000418102349196,0.0,0.0,0.0,0.0,0.0
AnnotationServer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hierarchy,0.0,1.000011452397612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MoodleReport,0.0,0.5209785720566488,0.0,0.0,1.000253944890548,0.0,0.0,0.0,0.0,0.0
MoodleResource,0.0,0.0,0.0,0.0,1.0001377261152489,0.0,0.0,0.0,0.5954898221423967,0.0
Selector,0.0,0.0,0.0,0.0,0.0,1.000127985523543,0.4216302232765839,0.0,0.0,0.0
DOI,0.0,0.0,0.0,0.0,1.2010646196515358,0.0,0.0,0.0,0.0,0.0
Categorize,0.0,0.0,0.0,0.0,0.0,0.0,1.000384467512495,0.0,0.0,0.0
ExportCodebook,0.0,1.1125904692370003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Springer,0.0,0.0,0.0,0.39287064180220477,1.0002401087126016,0.0,0.0,0.0,0.0,0.0
Canvas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
UserFilter,0.0,0.0,0.0,0.0,0.0,1.0000660022440764,0.0,0.0,0.0,0.0
Commenting,0.0,0.0,0.0,0.0,0.0,1.0003685787654526,0.9914310697408251,0.0,0.0,0.0
